,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,minmax,LR,0.5530141843971631,0.10820266986403777,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.5507706338349293,0.032463912102541272,"[0.46853625170998636, 0.51937984496124034, 0.50957592339261293, 0.54628362973096212, 0.53283173734610123, 0.60077519379844957, 0.58116735066119474, 0.5738714090287278, 0.58299133606931142, 0.53830369357045149, 0.54081167350661197, 0.56953944368445053, 0.58914728682170536, 0.5230278157774737, 0.55973552211582311, 0.53283173734610123, 0.52485180118559049, 0.54081167350661197, 0.54445964432284533, 0.5499316005471957, 0.56771545827633374, 0.58732330141358868, 0.55243958048335617, 0.52485180118559049, 0.53465572275421791, 0.58116735066119474, 0.54628362973096212, 0.5364797081623347, 0.59712722298221621, 0.52667578659370728, 0.5364797081623347, 0.53283173734610123, 0.53032375740994075, 0.61240310077519378, 0.51687186502507987, 0.51322389420884629, 0.55973552211582311, 0.62220702234382119, 0.51687186502507987, 0.60077519379844957, 0.58367533059735521, 0.54081167350661197, 0.5230278157774737, 0.59712722298221621, 0.49794801641586867, 0.56224350205198359, 0.59279525763793894, 0.54628362973096212, 0.50341997264021887, 0.56589147286821706]"
1,UCLAsource,binar,origN,0,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,UCLAsource,binar,origN,20,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
3,UCLAsource,binar,origN,40,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
4,UCLAsource,binar,origN,60,var_threshold,minmax,LR,0.55496453900709219,0.23700791733533677,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.51161422708618332,0.0087819747758331023,"[0.53488372093023262, 0.51162790697674421, 0.52325581395348841, 0.5, 0.49019607843137253, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.52507979936160509, 0.53488372093023262, 0.51162790697674421, 0.51162790697674421, 0.51345189238486089, 0.5, 0.51162790697674421, 0.52325581395348841, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.52325581395348841, 0.51162790697674421, 0.51162790697674421, 0.5, 0.5, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.52325581395348841, 0.50182398540811679, 0.52325581395348841, 0.51162790697674421, 0.52507979936160509, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.50182398540811679, 0.51162790697674421]"
5,UCLAsource,binar,origN,80,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
6,UCLAsource,binar,origN,100,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
7,UCLAsource,binar,origN,120,var_threshold,minmax,LR,0.69840425531914896,0.17895264553393556,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.5106976744186047,0.0080021630391094358,"[0.5, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.52325581395348841, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.52325581395348841, 0.51162790697674421, 0.5, 0.52325581395348841, 0.52325581395348841, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.53488372093023262, 0.52325581395348841, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.52325581395348841, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.5, 0.5, 0.52325581395348841, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.5, 0.5, 0.51162790697674421, 0.5]"
8,UCLAsource,binar,origN,140,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
9,UCLAsource,binar,origN,160,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
