,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,minmax,LR,0.5530141843971631,0.11671637152827886,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 100}",0.54950752393980851,0.033759224514742975,"[0.44710442316461463, 0.54263565891472865, 0.53100775193798444, 0.56771545827633374, 0.52120383036935714, 0.60077519379844957, 0.58116735066119474, 0.5738714090287278, 0.55973552211582311, 0.53830369357045149, 0.51937984496124034, 0.56953944368445053, 0.58116735066119474, 0.54263565891472865, 0.56953944368445053, 0.51322389420884629, 0.52667578659370728, 0.53100775193798444, 0.55426356589147285, 0.54628362973096212, 0.55608755129958953, 0.56771545827633374, 0.5738714090287278, 0.52485180118559049, 0.53465572275421791, 0.59279525763793894, 0.54810761513907891, 0.51869585043319655, 0.57751937984496116, 0.50706794345645234, 0.54810761513907891, 0.54263565891472865, 0.51869585043319655, 0.59895120839033289, 0.50706794345645234, 0.50159598723210219, 0.56953944368445053, 0.60077519379844957, 0.52667578659370728, 0.57934336525307795, 0.59530323757409942, 0.53283173734610123, 0.51322389420884629, 0.59712722298221621, 0.48814409484724119, 0.585499316005472, 0.60259917920656636, 0.54445964432284533, 0.51687186502507987, 0.58732330141358868]"
1,UCLAsource,binar,origN,0,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,UCLAsource,binar,origN,20,var_threshold,minmax,LR,0.53723404255319152,0.1587410862320334,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 100}",0.49002279981760155,0.01561703027594674,"[0.48039215686274511, 0.48404012767897853, 0.50364797081623347, 0.49202006383948932, 0.48404012767897853, 0.49202006383948932, 0.46078431372549017, 0.49202006383948932, 0.49202006383948932, 0.49566803465572273, 0.48221614227086185, 0.49019607843137253, 0.46625626994984043, 0.48221614227086185, 0.493844049247606, 0.48404012767897853, 0.49566803465572273, 0.48221614227086185, 0.47606019151846785, 0.48404012767897853, 0.48221614227086185, 0.52325581395348841, 0.49749202006383952, 0.47058823529411764, 0.51162790697674421, 0.50364797081623347, 0.50364797081623347, 0.493844049247606, 0.51527587779297768, 0.46443228454172358, 0.50364797081623347, 0.50911992704058373, 0.50364797081623347, 0.50729594163246694, 0.46443228454172358, 0.48404012767897853, 0.46078431372549017, 0.50182398540811679, 0.49202006383948932, 0.45462836297309622, 0.48221614227086185, 0.51892384860921115, 0.49749202006383952, 0.493844049247606, 0.48221614227086185, 0.48586411308709532, 0.47058823529411764, 0.51345189238486089, 0.49202006383948932, 0.50364797081623347]"
3,UCLAsource,binar,origN,40,var_threshold,minmax,LR,0.55265957446808511,0.21872053251695367,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.47927040583675334,0.019292625276834098,"[0.47058823529411764, 0.46260829913360696, 0.50547195622435015, 0.48404012767897853, 0.47606019151846785, 0.49749202006383952, 0.46443228454172358, 0.493844049247606, 0.47241222070223438, 0.49749202006383952, 0.47423620611035111, 0.47241222070223438, 0.44300045599635207, 0.45462836297309622, 0.47423620611035111, 0.50729594163246694, 0.47241222070223438, 0.48768809849521205, 0.47423620611035111, 0.44117647058823528, 0.493844049247606, 0.48586411308709532, 0.51709986320109447, 0.48768809849521205, 0.47606019151846785, 0.493844049247606, 0.49749202006383952, 0.45280437756497949, 0.48586411308709532, 0.46078431372549017, 0.51709986320109447, 0.45098039215686275, 0.47241222070223438, 0.48404012767897853, 0.49566803465572273, 0.47606019151846785, 0.45462836297309622, 0.47606019151846785, 0.48039215686274511, 0.47423620611035111, 0.46260829913360696, 0.45462836297309622, 0.48586411308709532, 0.49566803465572273, 0.49566803465572273, 0.45280437756497949, 0.48404012767897853, 0.45280437756497949, 0.52690378476972188, 0.493844049247606]"
4,UCLAsource,binar,origN,60,var_threshold,minmax,LR,0.65691489361702127,0.16167360470723485,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 50}",0.584313725490196,0.046746654571474172,"[0.59530323757409942, 0.56041951664386691, 0.55677154582763333, 0.62471500227998178, 0.62836297309621525, 0.55791153670770632, 0.5230278157774737, 0.52553579571363429, 0.65161878704970366, 0.67487460100319185, 0.61491108071135436, 0.63999088007295946, 0.53898768809849529, 0.55859553123575012, 0.47469220246238031, 0.60259917920656636, 0.60510715914272684, 0.50410396716826267, 0.62653898768809846, 0.61855905152758783, 0.58002735978112174, 0.58002735978112174, 0.68650250797993617, 0.5738714090287278, 0.60328317373461005, 0.56041951664386691, 0.61673506611947104, 0.55677154582763333, 0.56589147286821706, 0.60145918832649325, 0.62471500227998178, 0.55243958048335617, 0.63451892384860931, 0.61855905152758783, 0.62471500227998178, 0.57204742362061101, 0.49612403100775193, 0.54081167350661197, 0.58800729594163248, 0.55677154582763333, 0.54879160966712259, 0.48996808025535793, 0.54879160966712259, 0.63816689466484267, 0.53465572275421791, 0.63018695850433204, 0.62653898768809846, 0.5738714090287278, 0.62106703146374831, 0.58732330141358868]"
5,UCLAsource,binar,origN,80,var_threshold,minmax,LR,0.66134751773049638,0.18800326888972882,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 50}",0.57928864569083438,0.040974654887828629,"[0.5738714090287278, 0.5364797081623347, 0.52735978112175108, 0.65959872321021429, 0.58367533059735521, 0.55608755129958953, 0.56041951664386691, 0.57820337437300506, 0.63816689466484267, 0.60875512995896042, 0.57569539443684459, 0.55426356589147285, 0.54445964432284533, 0.61126310989512089, 0.54879160966712259, 0.60875512995896042, 0.63634290925672587, 0.54081167350661197, 0.585499316005472, 0.63634290925672587, 0.58367533059735521, 0.55061559507523938, 0.63999088007295946, 0.56406748746010038, 0.57204742362061101, 0.49794801641586867, 0.62471500227998178, 0.58185134518923842, 0.57934336525307795, 0.63816689466484267, 0.62653898768809846, 0.58367533059735521, 0.61491108071135436, 0.61855905152758783, 0.62653898768809846, 0.56406748746010038, 0.5371637026903785, 0.53100775193798444, 0.61308709530323757, 0.54879160966712259, 0.5738714090287278, 0.47651618787049704, 0.59712722298221621, 0.54081167350661197, 0.56589147286821706, 0.61855905152758783, 0.59963520291837669, 0.59712722298221621, 0.54514363885088923, 0.48814409484724119]"
6,UCLAsource,binar,origN,100,var_threshold,minmax,LR,0.67180851063829794,0.1522104000553702,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.61805745554035563,0.042653309879141461,"[0.57569539443684459, 0.62950296397628824, 0.56589147286821706, 0.64797081623347008, 0.62038303693570462, 0.59279525763793894, 0.66575467396260835, 0.63451892384860931, 0.67487460100319185, 0.60693114455084363, 0.59165526675786584, 0.62403100775193787, 0.59895120839033289, 0.66575467396260835, 0.59712722298221621, 0.59097127222982215, 0.70428636570907432, 0.59530323757409942, 0.60510715914272684, 0.6105791153670771, 0.58185134518923842, 0.5738714090287278, 0.59712722298221621, 0.61240310077519378, 0.65777473780209761, 0.55791153670770632, 0.64363885088919293, 0.60145918832649325, 0.69995440036479717, 0.63018695850433204, 0.63201094391244883, 0.63816689466484267, 0.69083447332421333, 0.66142270861833108, 0.69448244414044691, 0.54445964432284533, 0.52918376652986776, 0.59530323757409942, 0.63269493844049252, 0.62836297309621525, 0.54879160966712259, 0.56589147286821706, 0.69630642954856359, 0.64979480164158687, 0.56953944368445053, 0.60875512995896042, 0.64797081623347008, 0.64979480164158687, 0.5738714090287278, 0.59097127222982215]"
7,UCLAsource,binar,origN,120,var_threshold,minmax,LR,0.65460992907801419,0.11813674248536767,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.60729594163246692,0.034635617082819412,"[0.56406748746010038, 0.62585499316005466, 0.585499316005472, 0.63018695850433204, 0.57934336525307795, 0.62403100775193787, 0.57934336525307795, 0.61855905152758783, 0.62403100775193787, 0.55791153670770632, 0.59347925216598263, 0.59097127222982215, 0.55791153670770632, 0.64432284541723672, 0.59895120839033289, 0.60259917920656636, 0.63018695850433204, 0.53898768809849529, 0.59461924304605551, 0.60259917920656636, 0.65959872321021429, 0.59712722298221621, 0.60077519379844957, 0.63201094391244883, 0.58185134518923842, 0.57136342909256732, 0.6105791153670771, 0.60693114455084363, 0.63748290013679887, 0.62403100775193787, 0.56224350205198359, 0.58367533059735521, 0.61491108071135436, 0.64979480164158687, 0.64979480164158687, 0.62220702234382119, 0.65344277245782023, 0.52918376652986776, 0.58732330141358868, 0.6712266301869585, 0.59530323757409942, 0.61673506611947104, 0.65161878704970366, 0.62471500227998178, 0.53283173734610123, 0.65344277245782023, 0.63999088007295946, 0.64979480164158687, 0.56406748746010038, 0.64728682170542629]"
8,UCLAsource,binar,origN,140,var_threshold,minmax,LR,0.64769503546099294,0.12545899332485583,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.61353853169174644,0.041741939190975401,"[0.55608755129958953, 0.63201094391244883, 0.57022343821249433, 0.64363885088919293, 0.57569539443684459, 0.61240310077519378, 0.64979480164158687, 0.55859553123575012, 0.59530323757409942, 0.63816689466484267, 0.59347925216598263, 0.67852257181942555, 0.59712722298221621, 0.60510715914272684, 0.6105791153670771, 0.52667578659370728, 0.67305061559507517, 0.5738714090287278, 0.59712722298221621, 0.65709074327405381, 0.61673506611947104, 0.53283173734610123, 0.65344277245782023, 0.62220702234382119, 0.56406748746010038, 0.55973552211582311, 0.61422708618331046, 0.63018695850433204, 0.62038303693570462, 0.6105791153670771, 0.59165526675786584, 0.60875512995896042, 0.68901048791609676, 0.63634290925672587, 0.61855905152758783, 0.70428636570907432, 0.58367533059735521, 0.56041951664386691, 0.60145918832649325, 0.58367533059735521, 0.60693114455084363, 0.63999088007295946, 0.62038303693570462, 0.68901048791609676, 0.5738714090287278, 0.69448244414044691, 0.63634290925672587, 0.68103055175558591, 0.585499316005472, 0.60259917920656636]"
9,UCLAsource,binar,origN,160,var_threshold,minmax,LR,0.62730496453900708,0.11695635422378833,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 100}",0.58894208846329232,0.040211827006989033,"[0.55426356589147285, 0.57136342909256732, 0.49612403100775193, 0.64181486548107614, 0.585499316005472, 0.59279525763793894, 0.54081167350661197, 0.58367533059735521, 0.66324669402644765, 0.59712722298221621, 0.59530323757409942, 0.64546283629730961, 0.56406748746010038, 0.61308709530323757, 0.57934336525307795, 0.54810761513907891, 0.64181486548107614, 0.55061559507523938, 0.56589147286821706, 0.55973552211582311, 0.62403100775193787, 0.56771545827633374, 0.55426356589147285, 0.57751937984496116, 0.53898768809849529, 0.57751937984496116, 0.63201094391244883, 0.5738714090287278, 0.69197446420428643, 0.6338349293205654, 0.61673506611947104, 0.57751937984496116, 0.64181486548107614, 0.64181486548107614, 0.63816689466484267, 0.55791153670770632, 0.54263565891472865, 0.53898768809849529, 0.55677154582763333, 0.62471500227998178, 0.54263565891472865, 0.57751937984496116, 0.60077519379844957, 0.60510715914272684, 0.55608755129958953, 0.64546283629730961, 0.585499316005472, 0.62471500227998178, 0.54081167350661197, 0.56953944368445053]"
