,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,minmax,LR,0.55301418439716321,0.11039266809875221,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.55259461924304598,0.031403566624053018,"[0.46853625170998636, 0.53100775193798444, 0.54081167350661197, 0.56589147286821706, 0.53283173734610123, 0.60077519379844957, 0.58116735066119474, 0.5738714090287278, 0.58299133606931142, 0.53830369357045149, 0.54081167350661197, 0.55973552211582311, 0.60077519379844957, 0.53465572275421791, 0.56953944368445053, 0.53283173734610123, 0.51504787961696308, 0.54081167350661197, 0.55608755129958953, 0.53830369357045149, 0.55608755129958953, 0.59895120839033289, 0.56406748746010038, 0.52485180118559049, 0.53465572275421791, 0.59279525763793894, 0.56771545827633374, 0.53830369357045149, 0.58732330141358868, 0.52667578659370728, 0.52485180118559049, 0.53283173734610123, 0.53032375740994075, 0.61240310077519378, 0.52667578659370728, 0.51139990880072961, 0.56953944368445053, 0.60259917920656636, 0.51687186502507987, 0.60077519379844957, 0.58367533059735521, 0.55243958048335617, 0.5230278157774737, 0.585499316005472, 0.4997720018239854, 0.56224350205198359, 0.59279525763793894, 0.52485180118559049, 0.51504787961696308, 0.56589147286821706]"
1,UCLAsource,binar,origN,0,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,UCLAsource,binar,origN,20,var_threshold,minmax,LR,0.53670212765957448,0.15505241596828065,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 100}",0.4898267213862289,0.016463671722105853,"[0.48039215686274511, 0.48404012767897853, 0.50364797081623347, 0.49202006383948932, 0.493844049247606, 0.49202006383948932, 0.46078431372549017, 0.49202006383948932, 0.49202006383948932, 0.49566803465572273, 0.47241222070223438, 0.49019607843137253, 0.46625626994984043, 0.48221614227086185, 0.48404012767897853, 0.48404012767897853, 0.48404012767897853, 0.49202006383948932, 0.47606019151846785, 0.48404012767897853, 0.48221614227086185, 0.52325581395348841, 0.50729594163246694, 0.47058823529411764, 0.51162790697674421, 0.50364797081623347, 0.50364797081623347, 0.493844049247606, 0.52690378476972188, 0.46443228454172358, 0.493844049247606, 0.50911992704058373, 0.50364797081623347, 0.50729594163246694, 0.46443228454172358, 0.47241222070223438, 0.46078431372549017, 0.50182398540811679, 0.49202006383948932, 0.45462836297309622, 0.48221614227086185, 0.51892384860921115, 0.49749202006383952, 0.493844049247606, 0.48221614227086185, 0.49749202006383952, 0.47058823529411764, 0.51345189238486089, 0.48221614227086185, 0.50364797081623347]"
3,UCLAsource,binar,origN,40,var_threshold,minmax,LR,0.54875886524822692,0.2269027681715525,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.47953944368445056,0.01919943981167636,"[0.48039215686274511, 0.46260829913360696, 0.50547195622435015, 0.48404012767897853, 0.47606019151846785, 0.49749202006383952, 0.46443228454172358, 0.48404012767897853, 0.47241222070223438, 0.49749202006383952, 0.48586411308709532, 0.47241222070223438, 0.44300045599635207, 0.44482444140446875, 0.47423620611035111, 0.50729594163246694, 0.47241222070223438, 0.48768809849521205, 0.47423620611035111, 0.44117647058823528, 0.493844049247606, 0.48586411308709532, 0.50547195622435015, 0.48768809849521205, 0.47606019151846785, 0.493844049247606, 0.49749202006383952, 0.45280437756497949, 0.48586411308709532, 0.46078431372549017, 0.51709986320109447, 0.45098039215686275, 0.47241222070223438, 0.48404012767897853, 0.49566803465572273, 0.47606019151846785, 0.46625626994984043, 0.47606019151846785, 0.48039215686274511, 0.47423620611035111, 0.46260829913360696, 0.44482444140446875, 0.48586411308709532, 0.49566803465572273, 0.50729594163246694, 0.46260829913360696, 0.48404012767897853, 0.45280437756497949, 0.52690378476972188, 0.493844049247606]"
4,UCLAsource,binar,origN,60,var_threshold,minmax,LR,0.66170212765957448,0.16564277313950465,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 50}",0.58606019151846789,0.049321380159655509,"[0.60693114455084363, 0.54081167350661197, 0.56657546739626075, 0.64797081623347008, 0.63018695850433204, 0.56771545827633374, 0.54263565891472865, 0.50410396716826267, 0.65161878704970366, 0.67669858641130876, 0.59530323757409942, 0.66324669402644765, 0.51937984496124034, 0.50775193798449614, 0.47651618787049704, 0.61422708618331046, 0.59530323757409942, 0.54696762425900591, 0.58367533059735521, 0.59712722298221621, 0.60328317373461005, 0.58185134518923842, 0.69813041495668049, 0.54081167350661197, 0.62653898768809846, 0.55859553123575012, 0.63999088007295946, 0.55677154582763333, 0.56589147286821706, 0.59530323757409942, 0.62471500227998178, 0.55243958048335617, 0.65595075239398082, 0.61855905152758783, 0.65595075239398082, 0.5738714090287278, 0.51937984496124034, 0.55243958048335617, 0.62106703146374831, 0.54696762425900591, 0.56224350205198359, 0.52485180118559049, 0.52553579571363429, 0.64797081623347008, 0.53465572275421791, 0.59530323757409942, 0.58367533059735521, 0.5738714090287278, 0.60145918832649325, 0.63018695850433204]"
5,UCLAsource,binar,origN,80,var_threshold,minmax,LR,0.65656028368794317,0.19105001147859565,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.5759416324669403,0.043131900227676739,"[0.5738714090287278, 0.50341997264021887, 0.48632010943912451, 0.66940264477884182, 0.5738714090287278, 0.55791153670770632, 0.54879160966712259, 0.57022343821249433, 0.63999088007295946, 0.58914728682170536, 0.54263565891472865, 0.57751937984496116, 0.53100775193798444, 0.585499316005472, 0.5371637026903785, 0.57934336525307795, 0.61673506611947104, 0.53898768809849529, 0.59895120839033289, 0.62653898768809846, 0.57204742362061101, 0.54879160966712259, 0.60510715914272684, 0.56224350205198359, 0.53898768809849529, 0.52120383036935714, 0.61491108071135436, 0.55243958048335617, 0.52485180118559049, 0.63999088007295946, 0.64797081623347008, 0.585499316005472, 0.64797081623347008, 0.64181486548107614, 0.58367533059735521, 0.56589147286821706, 0.49612403100775193, 0.56041951664386691, 0.61126310989512089, 0.54879160966712259, 0.58367533059735521, 0.51937984496124034, 0.55426356589147285, 0.55243958048335617, 0.585499316005472, 0.62038303693570462, 0.61308709530323757, 0.65161878704970366, 0.57637938896488827, 0.5230278157774737]"
6,UCLAsource,binar,origN,100,var_threshold,minmax,LR,0.64929078014184394,0.1675070107847404,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.60782033743730046,0.039955071967566459,"[0.57751937984496116, 0.59279525763793894, 0.55426356589147285, 0.64979480164158687, 0.58914728682170536, 0.58116735066119474, 0.62471500227998178, 0.61126310989512089, 0.62220702234382119, 0.60693114455084363, 0.55061559507523938, 0.60077519379844957, 0.60259917920656636, 0.63269493844049252, 0.60875512995896042, 0.58914728682170536, 0.68285453716370259, 0.59530323757409942, 0.58367533059735521, 0.58732330141358868, 0.56224350205198359, 0.60693114455084363, 0.55426356589147285, 0.61240310077519378, 0.60510715914272684, 0.55608755129958953, 0.66142270861833108, 0.58367533059735521, 0.68650250797993617, 0.66142270861833108, 0.61855905152758783, 0.64181486548107614, 0.69265845873233012, 0.6712266301869585, 0.66142270861833108, 0.58732330141358868, 0.55243958048335617, 0.58367533059735521, 0.61126310989512089, 0.61673506611947104, 0.53898768809849529, 0.56771545827633374, 0.69265845873233012, 0.63816689466484267, 0.56771545827633374, 0.62038303693570462, 0.62653898768809846, 0.63634290925672587, 0.585499316005472, 0.54628362973096212]"
7,UCLAsource,binar,origN,120,var_threshold,minmax,LR,0.66241134751773045,0.094253824919181828,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.5997902416780666,0.036662232612370664,"[0.54263565891472865, 0.61422708618331046, 0.58367533059735521, 0.68650250797993617, 0.56589147286821706, 0.6338349293205654, 0.58116735066119474, 0.59347925216598263, 0.6338349293205654, 0.56589147286821706, 0.59347925216598263, 0.57751937984496116, 0.55973552211582311, 0.59165526675786584, 0.57934336525307795, 0.57318741450068411, 0.63999088007295946, 0.55061559507523938, 0.57934336525307795, 0.58116735066119474, 0.65777473780209761, 0.53283173734610123, 0.60077519379844957, 0.63201094391244883, 0.57204742362061101, 0.5364797081623347, 0.63201094391244883, 0.62836297309621525, 0.65891472868217049, 0.60077519379844957, 0.58367533059735521, 0.585499316005472, 0.55061559507523938, 0.65959872321021429, 0.63999088007295946, 0.61855905152758783, 0.63816689466484267, 0.52918376652986776, 0.59712722298221621, 0.61491108071135436, 0.58367533059735521, 0.61673506611947104, 0.62038303693570462, 0.61855905152758783, 0.55608755129958953, 0.6338349293205654, 0.62836297309621525, 0.64181486548107614, 0.56771545827633374, 0.62585499316005466]"
8,UCLAsource,binar,origN,140,var_threshold,minmax,LR,0.66081560283687935,0.12638143152414774,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.61199726402188792,0.042735161913727414,"[0.59712722298221621, 0.66689466484268134, 0.56839945280437754, 0.61855905152758783, 0.57751937984496116, 0.60259917920656636, 0.62471500227998178, 0.55859553123575012, 0.60693114455084363, 0.66142270861833108, 0.53465572275421791, 0.66507067943456444, 0.62836297309621525, 0.61308709530323757, 0.63018695850433204, 0.51504787961696308, 0.65161878704970366, 0.53283173734610123, 0.67669858641130876, 0.67669858641130876, 0.59712722298221621, 0.57751937984496116, 0.63018695850433204, 0.65526675786593713, 0.585499316005472, 0.59097127222982215, 0.6105791153670771, 0.65959872321021429, 0.62220702234382119, 0.57934336525307795, 0.58367533059735521, 0.6105791153670771, 0.67738258093935255, 0.63451892384860931, 0.63816689466484267, 0.706110351117191, 0.61673506611947104, 0.55859553123575012, 0.54879160966712259, 0.56839945280437754, 0.6228910168718651, 0.59895120839033289, 0.63999088007295946, 0.65595075239398082, 0.55608755129958953, 0.65161878704970366, 0.59165526675786584, 0.65959872321021429, 0.5738714090287278, 0.59097127222982215]"
9,UCLAsource,binar,origN,160,var_threshold,minmax,LR,0.63173758865248231,0.10988574414710142,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 100}",0.58199270405836745,0.036466364693690398,"[0.58367533059735521, 0.57136342909256732, 0.48632010943912451, 0.60693114455084363, 0.585499316005472, 0.59097127222982215, 0.57022343821249433, 0.53100775193798444, 0.61240310077519378, 0.58914728682170536, 0.60693114455084363, 0.63018695850433204, 0.585499316005472, 0.52918376652986776, 0.58732330141358868, 0.56953944368445053, 0.61673506611947104, 0.52120383036935714, 0.57751937984496116, 0.58299133606931142, 0.65161878704970366, 0.58732330141358868, 0.57934336525307795, 0.55608755129958953, 0.55859553123575012, 0.55608755129958953, 0.62403100775193787, 0.57204742362061101, 0.64728682170542629, 0.6105791153670771, 0.59530323757409942, 0.57934336525307795, 0.63816689466484267, 0.63201094391244883, 0.59165526675786584, 0.56589147286821706, 0.56224350205198359, 0.51755585955312355, 0.52371181030551761, 0.60145918832649325, 0.54696762425900591, 0.56406748746010038, 0.63018695850433204, 0.61491108071135436, 0.52120383036935714, 0.61855905152758783, 0.57569539443684459, 0.62471500227998178, 0.53898768809849529, 0.57934336525307795]"
