,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,origS,LR,0.55780141843971631,0.11123904912393616,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.54960784313725486,0.030838743358186035,"[0.46853625170998636, 0.52918376652986776, 0.51937984496124034, 0.56589147286821706, 0.52120383036935714, 0.58914728682170536, 0.58116735066119474, 0.5738714090287278, 0.58299133606931142, 0.52667578659370728, 0.54081167350661197, 0.55973552211582311, 0.58914728682170536, 0.52120383036935714, 0.56953944368445053, 0.53283173734610123, 0.51504787961696308, 0.52918376652986776, 0.54445964432284533, 0.53830369357045149, 0.55608755129958953, 0.59895120839033289, 0.56406748746010038, 0.52485180118559049, 0.53465572275421791, 0.58116735066119474, 0.55791153670770632, 0.5499316005471957, 0.58732330141358868, 0.52667578659370728, 0.52485180118559049, 0.53283173734610123, 0.53032375740994075, 0.60077519379844957, 0.52667578659370728, 0.51322389420884629, 0.56953944368445053, 0.6105791153670771, 0.51687186502507987, 0.60077519379844957, 0.5738714090287278, 0.55243958048335617, 0.5230278157774737, 0.57569539443684459, 0.48814409484724119, 0.56224350205198359, 0.58299133606931142, 0.53465572275421791, 0.51504787961696308, 0.56589147286821706]"
1,UCLAsource,binar,origN,0,var_threshold,origS,LR,0.53581560283687946,0.21998492113068338,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.54693114455084357,0.039312766505715711,"[0.54377564979480164, 0.55722754217966253, 0.5492476060191519, 0.53761969904240758, 0.59028727770177836, 0.48130414956680345, 0.62334701322389419, 0.53944368445052437, 0.53146374829001364, 0.57683538531691747, 0.61354309165526677, 0.57865937072503415, 0.55471956224350205, 0.54377564979480164, 0.57432740538075688, 0.48312813497492024, 0.57865937072503415, 0.52781577747378017, 0.54742362061103511, 0.46785225718194262, 0.51983584131326943, 0.55905152758777932, 0.61171910624715009, 0.57067943456452352, 0.58413132694938441, 0.57501139990880068, 0.53761969904240758, 0.57067943456452352, 0.51618787049703596, 0.51071591427268581, 0.59211126310989504, 0.49726402188782487, 0.51071591427268581, 0.52234382124943002, 0.54559963520291832, 0.61354309165526677, 0.50638394892840854, 0.48130414956680345, 0.56885544915640673, 0.50273597811217519, 0.58230734154126762, 0.58846329229366168, 0.47514819881440951, 0.53761969904240758, 0.56087551299589611, 0.58846329229366168, 0.50820793433652522, 0.56087551299589611, 0.48495212038303687, 0.56269949840401279]"
2,UCLAsource,binar,origN,20,var_threshold,origS,LR,0.59237588652482265,0.11271590507902518,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.5548654810761513,0.031522667330559362,"[0.55540355677154574, 0.56087551299589611, 0.59826721386228909, 0.5241678066575467, 0.55540355677154574, 0.53146374829001364, 0.50455996352029187, 0.51983584131326943, 0.55540355677154574, 0.59575923392612862, 0.57067943456452352, 0.51003191974464201, 0.5009119927040584, 0.52781577747378017, 0.5975832193342453, 0.59644322845417241, 0.56703146374828994, 0.54742362061103511, 0.5725034199726402, 0.59211126310989504, 0.56087551299589611, 0.47879616963064298, 0.57067943456452352, 0.55722754217966253, 0.59211126310989504, 0.52234382124943002, 0.59393524851801194, 0.57865937072503415, 0.51801185590515275, 0.52599179206566338, 0.58048335613315094, 0.57501139990880068, 0.57067943456452352, 0.54742362061103511, 0.55357957136342906, 0.59028727770177836, 0.57683538531691747, 0.52963976288189696, 0.55289557683538526, 0.53214774281805743, 0.47150022799817604, 0.58230734154126762, 0.59826721386228909, 0.57067943456452352, 0.52781577747378017, 0.55722754217966253, 0.53944368445052437, 0.5492476060191519, 0.5615595075239399, 0.59393524851801194]"
3,UCLAsource,binar,origN,40,var_threshold,origS,LR,0.58847517730496446,0.11410631773876503,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.55293205654354771,0.032331889404820395,"[0.56520747834017326, 0.55107159142726858, 0.60807113543091662, 0.52234382124943002, 0.55722754217966253, 0.56269949840401279, 0.49110807113543098, 0.51983584131326943, 0.54742362061103511, 0.61719106247150024, 0.55107159142726858, 0.53146374829001364, 0.5125398996808026, 0.53761969904240758, 0.58595531235750109, 0.56520747834017326, 0.56703146374828994, 0.5492476060191519, 0.5725034199726402, 0.60191518467852245, 0.53944368445052437, 0.45554035567715456, 0.55722754217966253, 0.55722754217966253, 0.57067943456452352, 0.5125398996808026, 0.60556315549475603, 0.55905152758777932, 0.51618787049703596, 0.53761969904240758, 0.55905152758777932, 0.58481532147742821, 0.56885544915640673, 0.55905152758777932, 0.55175558595531238, 0.59028727770177836, 0.56520747834017326, 0.53944368445052437, 0.56269949840401279, 0.52234382124943002, 0.48130414956680345, 0.60191518467852245, 0.59826721386228909, 0.56087551299589611, 0.51436388508891939, 0.56885544915640673, 0.53944368445052437, 0.53944368445052437, 0.54012767897856817, 0.57067943456452352]"
4,UCLAsource,binar,origN,60,var_threshold,origS,LR,0.59716312056737586,0.11399261459094011,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.55398540811673502,0.033456719593369967,"[0.52234382124943002, 0.5492476060191519, 0.59826721386228909, 0.5125398996808026, 0.57683538531691747, 0.54309165526675784, 0.50273597811217519, 0.51983584131326943, 0.5357957136342909, 0.60556315549475603, 0.57067943456452352, 0.52165982672138622, 0.5125398996808026, 0.54742362061103511, 0.58777929776561788, 0.58481532147742821, 0.56703146374828994, 0.55905152758777932, 0.58230734154126762, 0.61354309165526677, 0.53944368445052437, 0.47879616963064298, 0.56885544915640673, 0.56703146374828994, 0.58230734154126762, 0.52234382124943002, 0.59393524851801194, 0.5492476060191519, 0.51436388508891939, 0.50455996352029187, 0.58048335613315094, 0.60624715002279972, 0.58230734154126762, 0.54559963520291832, 0.55175558595531238, 0.58048335613315094, 0.56520747834017326, 0.53944368445052437, 0.55107159142726858, 0.53214774281805743, 0.47150022799817604, 0.59393524851801194, 0.58846329229366168, 0.56087551299589611, 0.52599179206566338, 0.57865937072503415, 0.52781577747378017, 0.53944368445052437, 0.54012767897856817, 0.60373917008663935]"
5,UCLAsource,binar,origN,80,var_threshold,origS,LR,0.59326241134751767,0.11552938971244335,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.55468308253533971,0.03690445723566483,"[0.53397172822617422, 0.56087551299589611, 0.60807113543091662, 0.5009119927040584, 0.59826721386228909, 0.54126766985864116, 0.47948016415868672, 0.53146374829001364, 0.55540355677154574, 0.61719106247150024, 0.57067943456452352, 0.5002279981760146, 0.5009119927040584, 0.5357957136342909, 0.5975832193342453, 0.58663930688554489, 0.57683538531691747, 0.55905152758777932, 0.58230734154126762, 0.60373917008663935, 0.56269949840401279, 0.45554035567715456, 0.56885544915640673, 0.55722754217966253, 0.58230734154126762, 0.52234382124943002, 0.60556315549475603, 0.5492476060191519, 0.50638394892840854, 0.51436388508891939, 0.58048335613315094, 0.57501139990880068, 0.57067943456452352, 0.55905152758777932, 0.56338349293205647, 0.58048335613315094, 0.56703146374828994, 0.53944368445052437, 0.55289557683538526, 0.53214774281805743, 0.47150022799817604, 0.58230734154126762, 0.59826721386228909, 0.58048335613315094, 0.52599179206566338, 0.57865937072503415, 0.52781577747378017, 0.53944368445052437, 0.54012767897856817, 0.60373917008663935]"
6,UCLAsource,binar,origN,100,var_threshold,origS,LR,0.59627659574468084,0.1319331233114297,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.55293205654354771,0.035492816950026602,"[0.54377564979480164, 0.55107159142726858, 0.59826721386228909, 0.5009119927040584, 0.61605107159142725, 0.53146374829001364, 0.47948016415868672, 0.51983584131326943, 0.55722754217966253, 0.61719106247150024, 0.56087551299589611, 0.51983584131326943, 0.5125398996808026, 0.54742362061103511, 0.58777929776561788, 0.56520747834017326, 0.57683538531691747, 0.55905152758777932, 0.58230734154126762, 0.60191518467852245, 0.52781577747378017, 0.46716826265389877, 0.58048335613315094, 0.55722754217966253, 0.58230734154126762, 0.5125398996808026, 0.59575923392612862, 0.5492476060191519, 0.51618787049703596, 0.49293205654354766, 0.58048335613315094, 0.58663930688554489, 0.58230734154126762, 0.54559963520291832, 0.57501139990880068, 0.58048335613315094, 0.58663930688554489, 0.52963976288189696, 0.55289557683538526, 0.54195166438668496, 0.48130414956680345, 0.58230734154126762, 0.57683538531691747, 0.57067943456452352, 0.50455996352029187, 0.57865937072503415, 0.52963976288189696, 0.53944368445052437, 0.54012767897856817, 0.57067943456452352]"
7,UCLAsource,binar,origN,120,var_threshold,origS,LR,0.59326241134751767,0.11552938971244335,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.55455996352029191,0.033070496856954061,"[0.54377564979480164, 0.58413132694938441, 0.59826721386228909, 0.5009119927040584, 0.55540355677154574, 0.54309165526675784, 0.51436388508891939, 0.53146374829001364, 0.5357957136342909, 0.60556315549475603, 0.56087551299589611, 0.51003191974464201, 0.5125398996808026, 0.54742362061103511, 0.58777929776561788, 0.57501139990880068, 0.57683538531691747, 0.55905152758777932, 0.5725034199726402, 0.61354309165526677, 0.55107159142726858, 0.47879616963064298, 0.55905152758777932, 0.56703146374828994, 0.58230734154126762, 0.52234382124943002, 0.60556315549475603, 0.55905152758777932, 0.50638394892840854, 0.49475604195166439, 0.58048335613315094, 0.5615595075239399, 0.57067943456452352, 0.54742362061103511, 0.56338349293205647, 0.58048335613315094, 0.57683538531691747, 0.52963976288189696, 0.55289557683538526, 0.53214774281805743, 0.48130414956680345, 0.61171910624715009, 0.59644322845417241, 0.56087551299589611, 0.52599179206566338, 0.56885544915640673, 0.53944368445052437, 0.5492476060191519, 0.54012767897856817, 0.60373917008663935]"
8,UCLAsource,binar,origN,140,var_threshold,origS,LR,0.59326241134751767,0.11552938971244335,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 100}",0.55420428636570906,0.036520235410998227,"[0.56338349293205647, 0.55107159142726858, 0.60807113543091662, 0.49110807113543098, 0.58663930688554489, 0.55289557683538526, 0.48130414956680345, 0.51983584131326943, 0.56520747834017326, 0.59575923392612862, 0.56087551299589611, 0.51185590515275881, 0.5125398996808026, 0.55722754217966253, 0.57797537619699046, 0.57501139990880068, 0.60009119927040588, 0.55905152758777932, 0.58230734154126762, 0.59211126310989504, 0.53944368445052437, 0.46716826265389877, 0.59028727770177836, 0.57067943456452352, 0.59211126310989504, 0.5125398996808026, 0.59575923392612862, 0.5492476060191519, 0.50638394892840854, 0.50455996352029187, 0.59211126310989504, 0.58663930688554489, 0.58230734154126762, 0.55722754217966253, 0.54195166438668496, 0.58048335613315094, 0.57501139990880068, 0.52781577747378017, 0.5725034199726402, 0.5125398996808026, 0.48130414956680345, 0.61354309165526677, 0.57683538531691747, 0.55107159142726858, 0.51436388508891939, 0.56885544915640673, 0.53944368445052437, 0.52963976288189696, 0.53032375740994075, 0.60373917008663935]"
9,UCLAsource,binar,origN,160,var_threshold,origS,LR,0.59148936170212763,0.12326202368357943,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.55278613771089846,0.033590909912452872,"[0.55357957136342906, 0.55107159142726858, 0.59826721386228909, 0.50273597811217519, 0.60624715002279972, 0.54126766985864116, 0.5009119927040584, 0.51983584131326943, 0.56703146374828994, 0.59575923392612862, 0.55107159142726858, 0.51185590515275881, 0.5009119927040584, 0.54742362061103511, 0.58595531235750109, 0.57501139990880068, 0.56703146374828994, 0.55905152758777932, 0.5725034199726402, 0.60373917008663935, 0.55107159142726858, 0.47879616963064298, 0.56885544915640673, 0.56703146374828994, 0.59211126310989504, 0.5125398996808026, 0.59393524851801194, 0.5492476060191519, 0.51436388508891939, 0.49293205654354766, 0.57067943456452352, 0.59461924304605551, 0.55905152758777932, 0.55722754217966253, 0.57501139990880068, 0.59028727770177836, 0.58663930688554489, 0.51801185590515275, 0.55107159142726858, 0.52051983584131323, 0.48130414956680345, 0.59028727770177836, 0.58663930688554489, 0.56087551299589611, 0.51618787049703596, 0.56885544915640673, 0.53944368445052437, 0.53944368445052437, 0.53032375740994075, 0.57067943456452352]"
