,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,minmax,LR,0.55780141843971631,0.11123904912393616,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 100}",0.55052439580483348,0.033496835269628385,"[0.46853625170998636, 0.54081167350661197, 0.50957592339261293, 0.55608755129958953, 0.53283173734610123, 0.58914728682170536, 0.58116735066119474, 0.56406748746010038, 0.58299133606931142, 0.53830369357045149, 0.53100775193798444, 0.55973552211582311, 0.60077519379844957, 0.5230278157774737, 0.58116735066119474, 0.5230278157774737, 0.51504787961696308, 0.54081167350661197, 0.54445964432284533, 0.53830369357045149, 0.56771545827633374, 0.59895120839033289, 0.56406748746010038, 0.52485180118559049, 0.53465572275421791, 0.59279525763793894, 0.56771545827633374, 0.52667578659370728, 0.59712722298221621, 0.52667578659370728, 0.52485180118559049, 0.53283173734610123, 0.53032375740994075, 0.62220702234382119, 0.50524395804833566, 0.50159598723210219, 0.57136342909256732, 0.59097127222982215, 0.51687186502507987, 0.59097127222982215, 0.59530323757409942, 0.54081167350661197, 0.5230278157774737, 0.58732330141358868, 0.48814409484724119, 0.56224350205198359, 0.59279525763793894, 0.54628362973096212, 0.51504787961696308, 0.56589147286821706]"
1,UCLAsource,binar,origN,0,var_threshold,minmax,LR,0.51241134751773043,0.14663152726644951,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 50}",0.51802553579571364,0.042625499227227442,"[0.51755585955312355, 0.48632010943912451, 0.57022343821249433, 0.51390788873689008, 0.55061559507523938, 0.51755585955312355, 0.49726402188782487, 0.52553579571363429, 0.50341997264021887, 0.51755585955312355, 0.52120383036935714, 0.51937984496124034, 0.55494756041951665, 0.51390788873689008, 0.54081167350661197, 0.58367533059735521, 0.4943000455996352, 0.39261285909712718, 0.50592795257637935, 0.54081167350661197, 0.45941632466940263, 0.58800729594163248, 0.52918376652986776, 0.52735978112175108, 0.56839945280437754, 0.42567259461924306, 0.57204742362061101, 0.50410396716826267, 0.48267213862289104, 0.53100775193798444, 0.47104423164614684, 0.4943000455996352, 0.58002735978112174, 0.4943000455996352, 0.59963520291837669, 0.47469220246238031, 0.47355221158230731, 0.43182854537163701, 0.51937984496124034, 0.52918376652986776, 0.52120383036935714, 0.49612403100775193, 0.51573187414500687, 0.50410396716826267, 0.53533971728226182, 0.52918376652986776, 0.58367533059735521, 0.58800729594163248, 0.47104423164614684, 0.53351573187414503]"
2,UCLAsource,binar,origN,20,var_threshold,minmax,LR,0.58723404255319156,0.143463274678679,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 50}",0.48061103511171899,0.038393456587954164,"[0.4943000455996352, 0.44961240310077516, 0.46124031007751937, 0.49794801641586867, 0.45690834473324216, 0.47469220246238031, 0.52120383036935714, 0.44710442316461463, 0.51937984496124034, 0.45759233926128595, 0.43912448700410395, 0.48267213862289104, 0.47720018239854078, 0.43182854537163701, 0.48632010943912451, 0.54081167350661197, 0.38531691746466024, 0.46124031007751937, 0.48267213862289104, 0.44345645234838127, 0.49247606019151857, 0.57022343821249433, 0.50775193798449614, 0.50227998176014599, 0.45508435932512536, 0.55426356589147285, 0.48996808025535793, 0.49794801641586867, 0.44961240310077516, 0.47286821705426357, 0.48267213862289104, 0.55677154582763333, 0.48449612403100772, 0.49247606019151857, 0.50410396716826267, 0.45326037391700869, 0.45143638850889189, 0.47651618787049704, 0.44163246694026448, 0.53351573187414503, 0.47651618787049704, 0.47286821705426357, 0.51390788873689008, 0.4274965800273598, 0.53898768809849529, 0.47469220246238031, 0.52735978112175108, 0.46124031007751937, 0.38896488828089376, 0.46853625170998636]"
3,UCLAsource,binar,origN,40,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
4,UCLAsource,binar,origN,60,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
5,UCLAsource,binar,origN,80,var_threshold,minmax,LR,0.60762411347517731,0.16750965699583364,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 100}",0.48319197446420431,0.048304932230585108,"[0.44710442316461463, 0.45143638850889189, 0.48996808025535793, 0.40857273141814865, 0.42384860921112633, 0.51937984496124034, 0.41769265845873232, 0.63451892384860931, 0.51573187414500687, 0.4336525307797538, 0.52735978112175108, 0.45690834473324216, 0.53533971728226182, 0.4630642954856361, 0.58002735978112174, 0.49065207478340178, 0.46671226630186957, 0.45326037391700869, 0.48632010943912451, 0.51573187414500687, 0.53351573187414503, 0.38896488828089376, 0.45508435932512536, 0.40424076607387138, 0.48016415868673051, 0.44528043775649795, 0.46488828089375284, 0.50227998176014599, 0.44596443228454175, 0.5371637026903785, 0.45508435932512536, 0.50592795257637935, 0.49247606019151857, 0.50775193798449614, 0.45143638850889189, 0.57022343821249433, 0.48996808025535793, 0.57751937984496116, 0.39876880984952123, 0.49247606019151857, 0.48016415868673051, 0.48882808937528499, 0.48449612403100772, 0.44163246694026448, 0.46671226630186957, 0.48814409484724119, 0.5004559963520292, 0.52553579571363429, 0.48449612403100772, 0.48267213862289104]"
6,UCLAsource,binar,origN,100,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
7,UCLAsource,binar,origN,120,var_threshold,minmax,LR,0.65797872340425523,0.13044587845877284,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.5816187870497036,0.031186699982204916,"[0.59051527587779296, 0.58800729594163248, 0.60761513907888731, 0.61559507523939805, 0.63702690378476978, 0.60396716826265395, 0.60396716826265395, 0.57090743274053812, 0.56725946192430454, 0.60396716826265395, 0.60396716826265395, 0.58618331053351569, 0.59598723210214311, 0.55927952576379392, 0.57888736890104875, 0.58618331053351569, 0.57090743274053812, 0.59416324669402654, 0.60761513907888731, 0.54765161878704971, 0.60396716826265395, 0.53784769721842229, 0.58071135430916554, 0.58869129046967617, 0.67191062471500218, 0.62904696762425905, 0.56110351117191071, 0.59598723210214311, 0.58071135430916554, 0.5494756041951665, 0.59416324669402654, 0.54149566803465576, 0.51459188326493388, 0.61194710442316458, 0.53419972640218871, 0.5978112175102599, 0.57455540355677148, 0.59416324669402654, 0.57888736890104875, 0.59233926128590975, 0.55129958960328318, 0.60396716826265395, 0.57888736890104875, 0.60761513907888731, 0.57090743274053812, 0.59051527587779296, 0.51823985408116735, 0.55927952576379392, 0.51094391244870041, 0.5360237118103055]"
8,UCLAsource,binar,origN,140,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
9,UCLAsource,binar,origN,160,var_threshold,minmax,LR,0.51170212765957457,0.16593153098250035,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.49637938896488831,0.010135501397050295,"[0.50182398540811679, 0.49019607843137253, 0.50182398540811679, 0.49019607843137253, 0.5, 0.5, 0.51345189238486089, 0.48039215686274511, 0.5, 0.50182398540811679, 0.5, 0.48039215686274511, 0.48039215686274511, 0.51162790697674421, 0.49749202006383952, 0.49019607843137253, 0.49019607843137253, 0.49019607843137253, 0.49019607843137253, 0.50182398540811679, 0.49019607843137253, 0.51162790697674421, 0.49019607843137253, 0.50182398540811679, 0.50182398540811679, 0.5, 0.5, 0.49019607843137253, 0.50182398540811679, 0.51162790697674421, 0.49019607843137253, 0.51162790697674421, 0.49019607843137253, 0.49019607843137253, 0.49019607843137253, 0.5, 0.5, 0.5, 0.46078431372549017, 0.5, 0.5, 0.49019607843137253, 0.5, 0.50182398540811679, 0.51162790697674421, 0.47058823529411764, 0.5, 0.5, 0.5, 0.5]"
