,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,Orig,var_threshold,minmax,LR,0.54875886524822692,0.11018572762707339,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.55084359325125387,0.031256047006777483,"[0.46853625170998636, 0.52918376652986776, 0.52120383036935714, 0.55608755129958953, 0.53100775193798444, 0.58914728682170536, 0.58116735066119474, 0.56406748746010038, 0.58299133606931142, 0.52667578659370728, 0.53100775193798444, 0.55973552211582311, 0.60077519379844957, 0.54445964432284533, 0.58116735066119474, 0.53283173734610123, 0.51504787961696308, 0.54081167350661197, 0.54445964432284533, 0.53830369357045149, 0.56771545827633374, 0.59895120839033289, 0.55243958048335617, 0.52485180118559049, 0.53465572275421791, 0.58116735066119474, 0.55791153670770632, 0.52667578659370728, 0.58732330141358868, 0.52667578659370728, 0.52485180118559049, 0.53283173734610123, 0.53032375740994075, 0.61240310077519378, 0.52667578659370728, 0.53283173734610123, 0.55973552211582311, 0.61240310077519378, 0.51687186502507987, 0.60077519379844957, 0.58367533059735521, 0.55243958048335617, 0.5230278157774737, 0.58732330141358868, 0.4997720018239854, 0.56224350205198359, 0.59279525763793894, 0.52485180118559049, 0.51504787961696308, 0.55426356589147285]"
1,UCLAsource,binar,origN,0,var_threshold,minmax,LR,0.51223404255319149,0.14880484331598909,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.52370269037847694,0.043158144695748156,"[0.52918376652986776, 0.4630642954856361, 0.58185134518923842, 0.49247606019151857, 0.55061559507523938, 0.54263565891472865, 0.47400820793433651, 0.56041951664386691, 0.51139990880072961, 0.51573187414500687, 0.585499316005472, 0.5371637026903785, 0.52918376652986776, 0.52735978112175108, 0.59165526675786584, 0.57022343821249433, 0.4943000455996352, 0.40606475148198812, 0.50592795257637935, 0.48814409484724119, 0.47469220246238031, 0.56589147286821706, 0.51755585955312355, 0.51937984496124034, 0.56839945280437754, 0.45690834473324216, 0.57022343821249433, 0.50592795257637935, 0.4943000455996352, 0.61491108071135436, 0.48882808937528499, 0.49612403100775193, 0.58185134518923842, 0.4943000455996352, 0.6228910168718651, 0.52371181030551761, 0.47104423164614684, 0.45326037391700869, 0.49612403100775193, 0.5738714090287278, 0.54263565891472865, 0.52735978112175108, 0.51937984496124034, 0.48449612403100772, 0.52553579571363429, 0.54081167350661197, 0.55061559507523938, 0.51573187414500687, 0.50410396716826267, 0.52735978112175108]"
2,UCLAsource,binar,origN,20,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
3,UCLAsource,binar,origN,40,var_threshold,minmax,LR,0.53333333333333333,0.16122682727919496,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.52064751481988147,0.046297513299146158,"[0.52006383948928403, 0.4630642954856361, 0.4997720018239854, 0.55494756041951665, 0.61855905152758783, 0.54696762425900591, 0.51755585955312355, 0.60145918832649325, 0.51869585043319655, 0.51755585955312355, 0.55608755129958953, 0.50775193798449614, 0.45326037391700869, 0.4943000455996352, 0.50775193798449614, 0.49794801641586867, 0.39876880984952123, 0.43000455996352027, 0.48198814409484725, 0.57136342909256732, 0.52735978112175108, 0.50592795257637935, 0.56041951664386691, 0.48084815321477431, 0.55426356589147285, 0.40857273141814865, 0.55608755129958953, 0.5230278157774737, 0.5371637026903785, 0.50159598723210219, 0.54081167350661197, 0.56224350205198359, 0.59530323757409942, 0.48016415868673051, 0.54879160966712259, 0.51139990880072961, 0.53533971728226182, 0.47469220246238031, 0.51322389420884629, 0.51937984496124034, 0.4997720018239854, 0.49612403100775193, 0.5371637026903785, 0.5371637026903785, 0.48700410396716831, 0.55243958048335617, 0.62471500227998178, 0.49065207478340178, 0.53100775193798444, 0.58185134518923842]"
4,UCLAsource,binar,origN,60,var_threshold,minmax,LR,0.60319148936170208,0.17461332823027612,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 100}",0.56992704058367527,0.051463915763148863,"[0.62653898768809846, 0.59712722298221621, 0.55243958048335617, 0.58002735978112174, 0.52918376652986776, 0.54445964432284533, 0.50775193798449614, 0.63269493844049252, 0.51687186502507987, 0.64797081623347008, 0.60693114455084363, 0.57022343821249433, 0.46671226630186957, 0.50592795257637935, 0.54263565891472865, 0.54810761513907891, 0.58983128134974916, 0.54263565891472865, 0.56406748746010038, 0.52485180118559049, 0.58185134518923842, 0.60077519379844957, 0.55608755129958953, 0.56224350205198359, 0.59347925216598263, 0.47469220246238031, 0.59347925216598263, 0.64363885088919293, 0.61673506611947104, 0.60693114455084363, 0.55061559507523938, 0.57751937984496116, 0.63999088007295946, 0.52120383036935714, 0.66324669402644765, 0.59347925216598263, 0.56041951664386691, 0.55608755129958953, 0.52918376652986776, 0.60693114455084363, 0.53100775193798444, 0.41222070223438212, 0.60875512995896042, 0.54081167350661197, 0.54081167350661197, 0.57022343821249433, 0.68103055175558591, 0.55061559507523938, 0.59712722298221621, 0.63816689466484267]"
5,UCLAsource,binar,origN,80,var_threshold,minmax,LR,0.53351063829787237,0.17624757397943136,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.53162790697674422,0.038610965436421778,"[0.54081167350661197, 0.48198814409484725, 0.49794801641586867, 0.50410396716826267, 0.48632010943912451, 0.50341997264021887, 0.52735978112175108, 0.59347925216598263, 0.50524395804833566, 0.57204742362061101, 0.58367533059735521, 0.56224350205198359, 0.48198814409484725, 0.51755585955312355, 0.52120383036935714, 0.56406748746010038, 0.57820337437300506, 0.5230278157774737, 0.48814409484724119, 0.55061559507523938, 0.54081167350661197, 0.51937984496124034, 0.55426356589147285, 0.51139990880072961, 0.55061559507523938, 0.46124031007751937, 0.54879160966712259, 0.52120383036935714, 0.51504787961696308, 0.5371637026903785, 0.55243958048335617, 0.54263565891472865, 0.59530323757409942, 0.48996808025535793, 0.48814409484724119, 0.54696762425900591, 0.51390788873689008, 0.52188782489740082, 0.54696762425900591, 0.54696762425900591, 0.49794801641586867, 0.47469220246238031, 0.53898768809849529, 0.64979480164158687, 0.47651618787049704, 0.56224350205198359, 0.62653898768809846, 0.50957592339261293, 0.50957592339261293, 0.54696762425900591]"
6,UCLAsource,binar,origN,100,var_threshold,minmax,LR,0.53014184397163111,0.17849311122559383,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.56842681258549921,0.045672414332789568,"[0.56224350205198359, 0.53465572275421791, 0.54081167350661197, 0.55859553123575012, 0.49361605107159146, 0.58732330141358868, 0.54081167350661197, 0.66142270861833108, 0.61422708618331046, 0.52918376652986776, 0.49794801641586867, 0.59895120839033289, 0.55608755129958953, 0.50775193798449614, 0.51937984496124034, 0.56953944368445053, 0.60077519379844957, 0.5230278157774737, 0.51322389420884629, 0.60077519379844957, 0.58002735978112174, 0.60328317373461005, 0.56589147286821706, 0.55608755129958953, 0.54081167350661197, 0.50957592339261293, 0.63999088007295946, 0.56589147286821706, 0.58299133606931142, 0.58185134518923842, 0.53283173734610123, 0.62836297309621525, 0.64979480164158687, 0.65959872321021429, 0.6461468308253534, 0.6105791153670771, 0.54696762425900591, 0.60145918832649325, 0.57204742362061101, 0.63816689466484267, 0.57751937984496116, 0.50775193798449614, 0.6105791153670771, 0.57204742362061101, 0.50957592339261293, 0.56589147286821706, 0.58185134518923842, 0.56224350205198359, 0.53283173734610123, 0.47834017327861378]"
7,UCLAsource,binar,origN,120,var_threshold,minmax,LR,0.57127659574468093,0.12834655581047372,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 50}",0.53699042407660746,0.035372462066759772,"[0.54263565891472865, 0.54810761513907891, 0.44345645234838127, 0.51139990880072961, 0.4997720018239854, 0.58116735066119474, 0.4997720018239854, 0.58185134518923842, 0.56224350205198359, 0.52485180118559049, 0.56224350205198359, 0.54810761513907891, 0.52120383036935714, 0.53533971728226182, 0.52485180118559049, 0.5364797081623347, 0.54263565891472865, 0.47834017327861378, 0.53032375740994075, 0.54628362973096212, 0.52120383036935714, 0.4997720018239854, 0.50957592339261293, 0.57569539443684459, 0.55061559507523938, 0.5230278157774737, 0.56771545827633374, 0.52553579571363429, 0.59461924304605551, 0.62220702234382119, 0.48084815321477431, 0.53465572275421791, 0.54696762425900591, 0.58732330141358868, 0.55859553123575012, 0.51322389420884629, 0.55243958048335617, 0.4997720018239854, 0.51937984496124034, 0.59963520291837669, 0.50410396716826267, 0.54628362973096212, 0.58185134518923842, 0.57751937984496116, 0.51937984496124034, 0.4997720018239854, 0.50775193798449614, 0.56224350205198359, 0.56657546739626075, 0.48016415868673051]"
8,UCLAsource,binar,origN,140,var_threshold,minmax,LR,0.5446808510638298,0.14147176342325066,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.55372549019607842,0.034927319124627723,"[0.55061559507523938, 0.53032375740994075, 0.44528043775649795, 0.53898768809849529, 0.53283173734610123, 0.59279525763793894, 0.5738714090287278, 0.57022343821249433, 0.55061559507523938, 0.57751937984496116, 0.52735978112175108, 0.57136342909256732, 0.54263565891472865, 0.57022343821249433, 0.5499316005471957, 0.51436388508891939, 0.61240310077519378, 0.51322389420884629, 0.57934336525307795, 0.60693114455084363, 0.52485180118559049, 0.54628362973096212, 0.51687186502507987, 0.53465572275421791, 0.50957592339261293, 0.55061559507523938, 0.57569539443684459, 0.51755585955312355, 0.61422708618331046, 0.63201094391244883, 0.48814409484724119, 0.5738714090287278, 0.57022343821249433, 0.59712722298221621, 0.56224350205198359, 0.57751937984496116, 0.57569539443684459, 0.51573187414500687, 0.57204742362061101, 0.57204742362061101, 0.56589147286821706, 0.5738714090287278, 0.57569539443684459, 0.54263565891472865, 0.49612403100775193, 0.55243958048335617, 0.53898768809849529, 0.5738714090287278, 0.57751937984496116, 0.51139990880072961]"
9,UCLAsource,binar,origN,160,var_threshold,minmax,LR,0.57996453900709222,0.087498050881163136,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 50}",0.56490196078431376,0.037411926341800426,"[0.59347925216598263, 0.55608755129958953, 0.48449612403100772, 0.61673506611947104, 0.52485180118559049, 0.58732330141358868, 0.55243958048335617, 0.53898768809849529, 0.61240310077519378, 0.56406748746010038, 0.59165526675786584, 0.56589147286821706, 0.50957592339261293, 0.53533971728226182, 0.58732330141358868, 0.57318741450068411, 0.61491108071135436, 0.56406748746010038, 0.57136342909256732, 0.5230278157774737, 0.53898768809849529, 0.59712722298221621, 0.55426356589147285, 0.60259917920656636, 0.54445964432284533, 0.50592795257637935, 0.59895120839033289, 0.60510715914272684, 0.60442316461468304, 0.5738714090287278, 0.52918376652986776, 0.56589147286821706, 0.64432284541723672, 0.64546283629730961, 0.59530323757409942, 0.60077519379844957, 0.5230278157774737, 0.53898768809849529, 0.55061559507523938, 0.58983128134974916, 0.49612403100775193, 0.54081167350661197, 0.585499316005472, 0.59165526675786584, 0.50341997264021887, 0.5738714090287278, 0.52553579571363429, 0.58367533059735521, 0.5371637026903785, 0.53100775193798444]"
