,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,orig,origN,Orig,var_threshold,minmax,LR,0.51063829787234039,0.030832716481254116,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.49649794801641589,0.0062933708397647191,"[0.50250797993616059, 0.49088007295941638, 0.5, 0.5, 0.4933880528955768, 0.48107615139078885, 0.50250797993616059, 0.5, 0.50250797993616059, 0.49270405836753306, 0.49088007295941638, 0.50250797993616059, 0.5, 0.49088007295941638, 0.49088007295941638, 0.4933880528955768, 0.49088007295941638, 0.50250797993616059, 0.5, 0.49088007295941638, 0.49088007295941638, 0.5, 0.5006839945280438, 0.5, 0.5, 0.50250797993616059, 0.5, 0.5, 0.50250797993616059, 0.50250797993616059, 0.5, 0.48358413132694938, 0.49088007295941638, 0.50250797993616059, 0.50250797993616059, 0.50250797993616059, 0.48176014591883265, 0.5, 0.49088007295941638, 0.48107615139078885, 0.5006839945280438, 0.50250797993616059, 0.50250797993616059, 0.5006839945280438, 0.49088007295941638, 0.49088007295941638, 0.5, 0.5, 0.49270405836753306, 0.49088007295941638]"
1,UCLAsource,orig,origN,0,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,UCLAsource,orig,origN,20,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
3,UCLAsource,orig,origN,40,var_threshold,minmax,LR,0.52765957446808509,0.15601708534313752,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.46504787961696303,0.049323341344765757,"[0.44277245782033747, 0.5499316005471957, 0.42567259461924306, 0.46420428636570904, 0.46785225718194262, 0.53830369357045149, 0.45257637938896489, 0.42134062927496579, 0.44277245782033747, 0.4997720018239854, 0.46853625170998636, 0.46602827177382583, 0.41951664386684906, 0.35886912904696766, 0.45075239398084815, 0.41336069311445511, 0.42932056543547648, 0.40788873689010485, 0.45075239398084815, 0.50524395804833566, 0.48198814409484725, 0.48381212950296398, 0.48198814409484725, 0.40424076607387138, 0.47400820793433651, 0.55608755129958953, 0.47765617875057004, 0.5364797081623347, 0.43296853625171006, 0.5009119927040584, 0.47400820793433651, 0.52485180118559049, 0.54628362973096212, 0.36502507979936161, 0.45257637938896489, 0.49544003647970819, 0.39192886456908343, 0.46055631554947563, 0.3901048791609667, 0.40355677154582759, 0.41769265845873232, 0.40606475148198812, 0.46602827177382583, 0.48016415868673051, 0.51139990880072961, 0.51504787961696308, 0.45440036479708162, 0.53465572275421791, 0.51504787961696308, 0.54195166438668496]"
4,UCLAsource,orig,origN,60,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
5,UCLAsource,orig,origN,80,var_threshold,minmax,LR,0.73315602836879434,0.081457420487931351,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.63253533971728215,0.041664275892168479,"[0.55426356589147285, 0.70246238030095753, 0.61491108071135436, 0.56041951664386691, 0.65595075239398082, 0.60510715914272684, 0.63634290925672587, 0.63634290925672587, 0.60328317373461005, 0.63999088007295946, 0.60145918832649325, 0.56406748746010038, 0.58983128134974916, 0.66142270861833108, 0.63634290925672587, 0.71226630186958506, 0.68103055175558591, 0.6461468308253534, 0.57022343821249433, 0.63634290925672587, 0.66324669402644765, 0.63748290013679887, 0.67920656634746934, 0.61855905152758783, 0.58185134518923842, 0.65959872321021429, 0.69448244414044691, 0.65959872321021429, 0.61855905152758783, 0.66940264477884182, 0.63201094391244883, 0.62471500227998178, 0.65344277245782023, 0.58002735978112174, 0.62403100775193787, 0.57022343821249433, 0.66575467396260835, 0.61126310989512089, 0.63999088007295946, 0.65344277245782023, 0.63816689466484267, 0.55061559507523938, 0.67305061559507517, 0.68103055175558591, 0.62471500227998178, 0.64979480164158687, 0.65959872321021429, 0.54263565891472865, 0.66940264477884182, 0.69265845873233012]"
6,UCLAsource,orig,origN,100,var_threshold,minmax,LR,0.5530141843971631,0.18505897670176535,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.4886912904696763,0.03836731736320801,"[0.41951664386684906, 0.53465572275421791, 0.46671226630186957, 0.46124031007751937, 0.4997720018239854, 0.4997720018239854, 0.48814409484724119, 0.48449612403100772, 0.47469220246238031, 0.48996808025535793, 0.46238030095759231, 0.55426356589147285, 0.47834017327861378, 0.55859553123575012, 0.47036023711810304, 0.45143638850889189, 0.47104423164614684, 0.5499316005471957, 0.49247606019151857, 0.4997720018239854, 0.44163246694026448, 0.48996808025535793, 0.50341997264021887, 0.51573187414500687, 0.50957592339261293, 0.44345645234838127, 0.56771545827633374, 0.50341997264021887, 0.50159598723210219, 0.4997720018239854, 0.43182854537163701, 0.45143638850889189, 0.45508435932512536, 0.56406748746010038, 0.50957592339261293, 0.43912448700410395, 0.4274965800273598, 0.47834017327861378, 0.51139990880072961, 0.42316461468308253, 0.50775193798449614, 0.53283173734610123, 0.46853625170998636, 0.44892840857273142, 0.54263565891472865, 0.48632010943912451, 0.46488828089375284, 0.47218422252621983, 0.47286821705426357, 0.56224350205198359]"
7,UCLAsource,orig,origN,120,var_threshold,minmax,LR,0.65921985815602835,0.14014550487652366,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.51081167350661205,0.0052031741439556491,"[0.50911992704058373, 0.51162790697674421, 0.51162790697674421, 0.5, 0.52325581395348841, 0.51162790697674421, 0.4993160054719562, 0.51162790697674421, 0.52074783401732783, 0.51162790697674421, 0.52325581395348841, 0.51094391244870041, 0.51094391244870041, 0.51162790697674421, 0.51162790697674421, 0.52325581395348841, 0.50911992704058373, 0.50182398540811679, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.50182398540811679, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421]"
8,UCLAsource,orig,origN,140,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
9,UCLAsource,orig,origN,160,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
