,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,orig,origN,Orig,var_threshold,minmax,LR,0.51063829787234039,0.030832716481254116,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.49649794801641589,0.0062933708397647191,"[0.50250797993616059, 0.49088007295941638, 0.5, 0.5, 0.4933880528955768, 0.48107615139078885, 0.50250797993616059, 0.5, 0.50250797993616059, 0.49270405836753306, 0.49088007295941638, 0.50250797993616059, 0.5, 0.49088007295941638, 0.49088007295941638, 0.4933880528955768, 0.49088007295941638, 0.50250797993616059, 0.5, 0.49088007295941638, 0.49088007295941638, 0.5, 0.5006839945280438, 0.5, 0.5, 0.50250797993616059, 0.5, 0.5, 0.50250797993616059, 0.50250797993616059, 0.5, 0.48358413132694938, 0.49088007295941638, 0.50250797993616059, 0.50250797993616059, 0.50250797993616059, 0.48176014591883265, 0.5, 0.49088007295941638, 0.48107615139078885, 0.5006839945280438, 0.50250797993616059, 0.50250797993616059, 0.5006839945280438, 0.49088007295941638, 0.49088007295941638, 0.5, 0.5, 0.49270405836753306, 0.49088007295941638]"
1,UCLAsource,orig,origN,0,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
2,UCLAsource,orig,origN,20,var_threshold,minmax,LR,0.62375886524822699,0.17709718321645904,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.51396716826265398,0.036270197788286801,"[0.52485180118559049, 0.47469220246238031, 0.53100775193798444, 0.50341997264021887, 0.55243958048335617, 0.48814409484724119, 0.51937984496124034, 0.44710442316461463, 0.60510715914272684, 0.46055631554947563, 0.52120383036935714, 0.48632010943912451, 0.52667578659370728, 0.52485180118559049, 0.52051983584131323, 0.51139990880072961, 0.51687186502507987, 0.52485180118559049, 0.52735978112175108, 0.48198814409484725, 0.57204742362061101, 0.54628362973096212, 0.59712722298221621, 0.51687186502507987, 0.49794801641586867, 0.53465572275421791, 0.53100775193798444, 0.50341997264021887, 0.54081167350661197, 0.56224350205198359, 0.51504787961696308, 0.41404468764249891, 0.52667578659370728, 0.51687186502507987, 0.51504787961696308, 0.48814409484724119, 0.45873233014135884, 0.52120383036935714, 0.50341997264021887, 0.55608755129958953, 0.46853625170998636, 0.51322389420884629, 0.49361605107159146, 0.46055631554947563, 0.51322389420884629, 0.46671226630186957, 0.57569539443684459, 0.53465572275421791, 0.50957592339261293, 0.49612403100775193]"
3,UCLAsource,orig,origN,40,var_threshold,minmax,LR,0.64893617021276584,0.15102112072316795,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.49279069767441852,0.008547577119191763,"[0.49019607843137253, 0.48039215686274511, 0.50182398540811679, 0.47058823529411764, 0.50182398540811679, 0.48221614227086185, 0.50182398540811679, 0.50182398540811679, 0.50182398540811679, 0.49019607843137253, 0.49019607843137253, 0.50182398540811679, 0.49019607843137253, 0.5, 0.49019607843137253, 0.49019607843137253, 0.48039215686274511, 0.49019607843137253, 0.47058823529411764, 0.49019607843137253, 0.5, 0.49019607843137253, 0.5, 0.49019607843137253, 0.49019607843137253, 0.5, 0.49019607843137253, 0.51162790697674421, 0.49019607843137253, 0.49202006383948932, 0.50182398540811679, 0.49019607843137253, 0.48039215686274511, 0.49019607843137253, 0.48039215686274511, 0.5, 0.50182398540811679, 0.49019607843137253, 0.49019607843137253, 0.49019607843137253, 0.5, 0.49019607843137253, 0.51162790697674421, 0.49019607843137253, 0.5, 0.49019607843137253, 0.5, 0.49019607843137253, 0.49019607843137253, 0.49019607843137253]"
4,UCLAsource,orig,origN,60,var_threshold,minmax,LR,0.65656028368794328,0.14477948678515529,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.5746648426812585,0.041508224575050372,"[0.63201094391244883, 0.60693114455084363, 0.63201094391244883, 0.50957592339261293, 0.59097127222982215, 0.48449612403100772, 0.54445964432284533, 0.52120383036935714, 0.57136342909256732, 0.56589147286821706, 0.52485180118559049, 0.51937984496124034, 0.59097127222982215, 0.55608755129958953, 0.58116735066119474, 0.50775193798449614, 0.5738714090287278, 0.58914728682170536, 0.55175558595531238, 0.58732330141358868, 0.62585499316005466, 0.59097127222982215, 0.62038303693570462, 0.50889192886456902, 0.55608755129958953, 0.55973552211582311, 0.63201094391244883, 0.52485180118559049, 0.61605107159142725, 0.60510715914272684, 0.55608755129958953, 0.58116735066119474, 0.56589147286821706, 0.57136342909256732, 0.66871865025079802, 0.50775193798449614, 0.58002735978112174, 0.51139990880072961, 0.6338349293205654, 0.55175558595531238, 0.58914728682170536, 0.56953944368445053, 0.58732330141358868, 0.64363885088919293, 0.58367533059735521, 0.56771545827633374, 0.55608755129958953, 0.61126310989512089, 0.58367533059735521, 0.63201094391244883]"
5,UCLAsource,orig,origN,80,var_threshold,minmax,LR,0.59734042553191491,0.15297876039416,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.49780209758321931,0.010204415921808895,"[0.5, 0.49202006383948932, 0.51345189238486089, 0.5, 0.49019607843137253, 0.5, 0.5, 0.5, 0.50182398540811679, 0.49019607843137253, 0.5, 0.49019607843137253, 0.51162790697674421, 0.51162790697674421, 0.49019607843137253, 0.50182398540811679, 0.5, 0.51162790697674421, 0.48039215686274511, 0.49019607843137253, 0.51162790697674421, 0.5, 0.5, 0.51162790697674421, 0.5, 0.49019607843137253, 0.5, 0.48039215686274511, 0.5, 0.49019607843137253, 0.51162790697674421, 0.51162790697674421, 0.48039215686274511, 0.5, 0.5, 0.51162790697674421, 0.5, 0.48039215686274511, 0.48039215686274511, 0.5, 0.5, 0.51162790697674421, 0.48039215686274511, 0.48039215686274511, 0.51162790697674421, 0.5, 0.5, 0.48039215686274511, 0.49019607843137253, 0.5]"
6,UCLAsource,orig,origN,100,var_threshold,minmax,LR,0.56613475177304962,0.20455585467349294,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.50295941632466945,0.0073995844708531072,"[0.51162790697674421, 0.5, 0.52325581395348841, 0.5, 0.5, 0.5, 0.52325581395348841, 0.5, 0.5, 0.49019607843137253, 0.51162790697674421, 0.5, 0.51162790697674421, 0.5, 0.51162790697674421, 0.5, 0.50364797081623347, 0.49019607843137253, 0.49019607843137253, 0.50182398540811679, 0.5, 0.50182398540811679, 0.5, 0.50182398540811679, 0.5, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.51162790697674421, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.49202006383948932, 0.5, 0.51162790697674421, 0.51162790697674421, 0.5, 0.51162790697674421, 0.5, 0.5, 0.5, 0.49019607843137253, 0.51162790697674421, 0.5, 0.5, 0.5, 0.5]"
7,UCLAsource,orig,origN,120,var_threshold,minmax,LR,0.52393617021276595,0.06633599332839335,"{'penalty': 'l1', 'C': 0.30000000000000004, 'max_iter': 50}",0.49251709986320108,0.011897021726605624,"[0.50364797081623347, 0.49019607843137253, 0.49019607843137253, 0.51162790697674421, 0.5, 0.49019607843137253, 0.48039215686274511, 0.49019607843137253, 0.49019607843137253, 0.50182398540811679, 0.48039215686274511, 0.48039215686274511, 0.51162790697674421, 0.48039215686274511, 0.50364797081623347, 0.51162790697674421, 0.48039215686274511, 0.47058823529411764, 0.49019607843137253, 0.49566803465572273, 0.48039215686274511, 0.5, 0.48039215686274511, 0.49019607843137253, 0.50182398540811679, 0.49019607843137253, 0.48221614227086185, 0.49019607843137253, 0.49019607843137253, 0.50182398540811679, 0.47058823529411764, 0.51162790697674421, 0.51162790697674421, 0.48039215686274511, 0.50182398540811679, 0.49202006383948932, 0.48039215686274511, 0.48039215686274511, 0.51162790697674421, 0.50364797081623347, 0.49019607843137253, 0.51162790697674421, 0.50182398540811679, 0.49019607843137253, 0.50364797081623347, 0.47058823529411764, 0.48039215686274511, 0.50182398540811679, 0.48039215686274511, 0.49019607843137253]"
8,UCLAsource,orig,origN,140,var_threshold,minmax,LR,0.60868794326241138,0.17322433703756965,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.50403556771545821,0.010794238888548476,"[0.52325581395348841, 0.51162790697674421, 0.5, 0.4993160054719562, 0.48768809849521205, 0.5, 0.51345189238486089, 0.49019607843137253, 0.51162790697674421, 0.52325581395348841, 0.49019607843137253, 0.51162790697674421, 0.51162790697674421, 0.50911992704058373, 0.52507979936160509, 0.5, 0.48768809849521205, 0.51345189238486089, 0.50911992704058373, 0.49019607843137253, 0.51162790697674421, 0.5, 0.51162790697674421, 0.50911992704058373, 0.49019607843137253, 0.50911992704058373, 0.49019607843137253, 0.51162790697674421, 0.5, 0.5, 0.5, 0.49749202006383952, 0.51162790697674421, 0.5, 0.49019607843137253, 0.5, 0.52325581395348841, 0.51162790697674421, 0.5, 0.5, 0.5, 0.51162790697674421, 0.5, 0.51162790697674421, 0.5, 0.50182398540811679, 0.47788417692658469, 0.48768809849521205, 0.51162790697674421, 0.52325581395348841]"
9,UCLAsource,orig,origN,160,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.01, 'max_iter': 50}",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
