,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,wbysqdist,spectral,Orig,var_threshold,minmax,LR,0.56453900709219862,0.13989683049640003,"{'penalty': 'l2', 'C': 0.30000000000000004, 'max_iter': 50}",0.52331965344277254,0.027299296267513491,"[0.47469220246238031, 0.5120839033287734, 0.56475148198814407, 0.53351573187414503, 0.56839945280437754, 0.54514363885088923, 0.54331965344277244, 0.56292749658002728, 0.56292749658002728, 0.51025991792065661, 0.52371181030551761, 0.46671226630186957, 0.50227998176014599, 0.54514363885088923, 0.56041951664386691, 0.4692202462380301, 0.52371181030551761, 0.48267213862289104, 0.5120839033287734, 0.5004559963520292, 0.53533971728226182, 0.48084815321477431, 0.4943000455996352, 0.5371637026903785, 0.4943000455996352, 0.51390788873689008, 0.52986776105791156, 0.50227998176014599, 0.51390788873689008, 0.55677154582763333, 0.5120839033287734, 0.53351573187414503, 0.54514363885088923, 0.54149566803465576, 0.5120839033287734, 0.52006383948928403, 0.53169174646602824, 0.5371637026903785, 0.52188782489740082, 0.52371181030551761, 0.56657546739626075, 0.51755585955312355, 0.50227998176014599, 0.46124031007751937, 0.52371181030551761, 0.56657546739626075, 0.51025991792065661, 0.53898768809849529, 0.53533971728226182, 0.54149566803465576]"
1,UCLAsource,wbysqdist,spectral,0,var_threshold,minmax,LR,0.56524822695035448,0.12412958355446439,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 50}",0.53199726402188785,0.045456652483891469,"[0.5230278157774737, 0.47834017327861378, 0.55426356589147285, 0.50159598723210219, 0.51937984496124034, 0.57569539443684459, 0.54263565891472865, 0.49179206566347478, 0.53465572275421791, 0.53283173734610123, 0.44710442316461463, 0.53465572275421791, 0.54263565891472865, 0.48632010943912451, 0.58116735066119474, 0.56041951664386691, 0.59530323757409942, 0.585499316005472, 0.63999088007295946, 0.47218422252621983, 0.55243958048335617, 0.54263565891472865, 0.49361605107159146, 0.43912448700410395, 0.45508435932512536, 0.51687186502507987, 0.46055631554947563, 0.47834017327861378, 0.585499316005472, 0.60077519379844957, 0.52918376652986776, 0.59097127222982215, 0.50957592339261293, 0.53830369357045149, 0.55973552211582311, 0.55608755129958953, 0.57204742362061101, 0.51504787961696308, 0.585499316005472, 0.5615595075239399, 0.45873233014135884, 0.57022343821249433, 0.53533971728226182, 0.51755585955312355, 0.56224350205198359, 0.55608755129958953, 0.50341997264021887, 0.57569539443684459, 0.45690834473324216, 0.52120383036935714]"
2,UCLAsource,wbysqdist,spectral,20,var_threshold,minmax,LR,0.57783687943262418,0.1569280356719607,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.52536707706338348,0.040451498072107725,"[0.5364797081623347, 0.48016415868673051, 0.50524395804833566, 0.50957592339261293, 0.49179206566347478, 0.57751937984496116, 0.56406748746010038, 0.4997720018239854, 0.51504787961696308, 0.54445964432284533, 0.47218422252621983, 0.50341997264021887, 0.53898768809849529, 0.45690834473324216, 0.55973552211582311, 0.54081167350661197, 0.585499316005472, 0.56771545827633374, 0.585499316005472, 0.46420428636570904, 0.55426356589147285, 0.51322389420884629, 0.48016415868673051, 0.46055631554947563, 0.45690834473324216, 0.52485180118559049, 0.50524395804833566, 0.48996808025535793, 0.57569539443684459, 0.60875512995896042, 0.55243958048335617, 0.57934336525307795, 0.51937984496124034, 0.51687186502507987, 0.55973552211582311, 0.54628362973096212, 0.57022343821249433, 0.48563611491108072, 0.56041951664386691, 0.5364797081623347, 0.48198814409484725, 0.55243958048335617, 0.50592795257637935, 0.51937984496124034, 0.57569539443684459, 0.55608755129958953, 0.48198814409484725, 0.54263565891472865, 0.43547651618787048, 0.52120383036935714]"
3,UCLAsource,wbysqdist,spectral,40,var_threshold,minmax,LR,0.5806737588652483,0.14438471378985471,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.55100319197446412,0.046986972449067452,"[0.58732330141358868, 0.50341997264021887, 0.57751937984496116, 0.58367533059735521, 0.51687186502507987, 0.57569539443684459, 0.55608755129958953, 0.56589147286821706, 0.5615595075239399, 0.51139990880072961, 0.50341997264021887, 0.56406748746010038, 0.59712722298221621, 0.47834017327861378, 0.54195166438668496, 0.4997720018239854, 0.59712722298221621, 0.52667578659370728, 0.62038303693570462, 0.47583219334245325, 0.585499316005472, 0.5230278157774737, 0.47036023711810304, 0.50159598723210219, 0.41404468764249891, 0.58116735066119474, 0.56771545827633374, 0.48016415868673051, 0.56589147286821706, 0.6105791153670771, 0.51139990880072961, 0.59895120839033289, 0.54445964432284533, 0.59895120839033289, 0.60442316461468304, 0.52667578659370728, 0.58732330141358868, 0.54263565891472865, 0.58732330141358868, 0.51322389420884629, 0.53032375740994075, 0.57136342909256732, 0.56224350205198359, 0.62585499316005466, 0.63999088007295946, 0.59097127222982215, 0.59097127222982215, 0.56771545827633374, 0.4997720018239854, 0.51139990880072961]"
4,UCLAsource,wbysqdist,spectral,60,var_threshold,minmax,LR,0.61099290780141846,0.16629663162449637,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.54834017327861373,0.043351836990118325,"[0.49179206566347478, 0.50957592339261293, 0.51504787961696308, 0.51139990880072961, 0.55426356589147285, 0.61673506611947104, 0.60328317373461005, 0.60510715914272684, 0.56771545827633374, 0.57204742362061101, 0.48016415868673051, 0.52918376652986776, 0.54263565891472865, 0.56406748746010038, 0.50524395804833566, 0.50957592339261293, 0.55243958048335617, 0.58116735066119474, 0.57022343821249433, 0.48814409484724119, 0.58732330141358868, 0.52120383036935714, 0.45873233014135884, 0.46055631554947563, 0.49794801641586867, 0.51687186502507987, 0.55061559507523938, 0.5364797081623347, 0.55426356589147285, 0.61673506611947104, 0.5371637026903785, 0.60693114455084363, 0.56224350205198359, 0.54445964432284533, 0.57934336525307795, 0.60693114455084363, 0.58983128134974916, 0.56224350205198359, 0.56406748746010038, 0.58914728682170536, 0.49361605107159146, 0.55243958048335617, 0.55061559507523938, 0.57022343821249433, 0.60693114455084363, 0.64181486548107614, 0.49361605107159146, 0.57569539443684459, 0.49794801641586867, 0.52120383036935714]"
5,UCLAsource,wbysqdist,spectral,80,var_threshold,minmax,LR,0.60372340425531923,0.14172931979847608,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.54730050159598731,0.044214324530819055,"[0.51322389420884629, 0.53100775193798444, 0.60077519379844957, 0.53100775193798444, 0.55973552211582311, 0.51937984496124034, 0.56589147286821706, 0.55243958048335617, 0.51504787961696308, 0.56406748746010038, 0.48996808025535793, 0.51755585955312355, 0.58914728682170536, 0.53465572275421791, 0.63018695850433204, 0.54081167350661197, 0.51322389420884629, 0.58367533059735521, 0.57751937984496116, 0.45873233014135884, 0.59347925216598263, 0.57569539443684459, 0.50341997264021887, 0.48198814409484725, 0.5230278157774737, 0.55973552211582311, 0.51322389420884629, 0.48996808025535793, 0.58116735066119474, 0.62836297309621525, 0.49612403100775193, 0.61855905152758783, 0.53100775193798444, 0.57934336525307795, 0.58914728682170536, 0.52234382124943002, 0.60693114455084363, 0.52667578659370728, 0.56224350205198359, 0.58732330141358868, 0.48381212950296398, 0.53465572275421791, 0.5371637026903785, 0.59895120839033289, 0.61855905152758783, 0.59279525763793894, 0.46602827177382583, 0.57569539443684459, 0.5230278157774737, 0.47651618787049704]"
6,UCLAsource,wbysqdist,spectral,100,var_threshold,minmax,LR,0.53173758865248233,0.15612909788530308,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 100}",0.51216598267213864,0.040819360015126753,"[0.53465572275421791, 0.5120839033287734, 0.51322389420884629, 0.52120383036935714, 0.55061559507523938, 0.55061559507523938, 0.55426356589147285, 0.54263565891472865, 0.48996808025535793, 0.48632010943912451, 0.53283173734610123, 0.50775193798449614, 0.58983128134974916, 0.46671226630186957, 0.51937984496124034, 0.49794801641586867, 0.51504787961696308, 0.56224350205198359, 0.48814409484724119, 0.44094847241222068, 0.50410396716826267, 0.51322389420884629, 0.43547651618787048, 0.47651618787049704, 0.4274965800273598, 0.52667578659370728, 0.48381212950296398, 0.45508435932512536, 0.52485180118559049, 0.56771545827633374, 0.50592795257637935, 0.58914728682170536, 0.49612403100775193, 0.57204742362061101, 0.52667578659370728, 0.50706794345645234, 0.54263565891472865, 0.49361605107159146, 0.50775193798449614, 0.56589147286821706, 0.43182854537163701, 0.55061559507523938, 0.46671226630186957, 0.55243958048335617, 0.56589147286821706, 0.48198814409484725, 0.43730050159598721, 0.53100775193798444, 0.47469220246238031, 0.51755585955312355]"
7,UCLAsource,wbysqdist,spectral,120,var_threshold,minmax,LR,0.58439716312056744,0.12570389309403682,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 50}",0.52356589147286825,0.041636006879737508,"[0.49361605107159146, 0.4997720018239854, 0.52667578659370728, 0.50957592339261293, 0.48814409484724119, 0.54263565891472865, 0.46853625170998636, 0.53465572275421791, 0.50159598723210219, 0.51322389420884629, 0.47036023711810304, 0.4997720018239854, 0.5230278157774737, 0.47036023711810304, 0.52485180118559049, 0.53100775193798444, 0.54081167350661197, 0.58914728682170536, 0.54263565891472865, 0.46420428636570904, 0.5738714090287278, 0.54810761513907891, 0.5230278157774737, 0.43912448700410395, 0.43912448700410395, 0.49361605107159146, 0.54445964432284533, 0.45873233014135884, 0.50524395804833566, 0.56589147286821706, 0.54445964432284533, 0.59895120839033289, 0.48814409484724119, 0.57751937984496116, 0.51504787961696308, 0.54012767897856817, 0.62220702234382119, 0.55426356589147285, 0.52918376652986776, 0.57751937984496116, 0.47834017327861378, 0.52120383036935714, 0.54081167350661197, 0.57934336525307795, 0.60875512995896042, 0.49179206566347478, 0.50341997264021887, 0.55608755129958953, 0.52120383036935714, 0.50410396716826267]"
8,UCLAsource,wbysqdist,spectral,140,var_threshold,minmax,LR,0.6060283687943262,0.17378166010561916,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.55401276789785681,0.039615278497757811,"[0.56589147286821706, 0.5230278157774737, 0.56953944368445053, 0.53100775193798444, 0.60077519379844957, 0.58732330141358868, 0.60077519379844957, 0.56406748746010038, 0.53830369357045149, 0.55426356589147285, 0.52485180118559049, 0.54445964432284533, 0.57751937984496116, 0.50341997264021887, 0.56953944368445053, 0.53465572275421791, 0.54628362973096212, 0.56406748746010038, 0.56953944368445053, 0.52849977200182396, 0.58732330141358868, 0.57751937984496116, 0.50159598723210219, 0.44892840857273142, 0.48198814409484725, 0.53032375740994075, 0.50706794345645234, 0.48996808025535793, 0.5364797081623347, 0.62403100775193787, 0.55791153670770632, 0.57751937984496116, 0.48996808025535793, 0.59279525763793894, 0.57934336525307795, 0.61422708618331046, 0.59279525763793894, 0.50706794345645234, 0.54263565891472865, 0.57751937984496116, 0.51504787961696308, 0.54628362973096212, 0.57751937984496116, 0.56771545827633374, 0.63565891472868208, 0.58914728682170536, 0.54081167350661197, 0.63018695850433204, 0.56406748746010038, 0.51937984496124034]"
9,UCLAsource,wbysqdist,spectral,160,var_threshold,minmax,LR,0.61329787234042554,0.12150990063743725,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.54950296397628817,0.049170800251715489,"[0.52667578659370728, 0.46853625170998636, 0.56771545827633374, 0.45690834473324216, 0.52849977200182396, 0.64979480164158687, 0.61673506611947104, 0.53465572275421791, 0.5499316005471957, 0.53830369357045149, 0.55608755129958953, 0.54810761513907891, 0.62220702234382119, 0.50159598723210219, 0.5499316005471957, 0.51687186502507987, 0.50524395804833566, 0.58116735066119474, 0.57569539443684459, 0.48928408572731419, 0.5738714090287278, 0.5364797081623347, 0.48198814409484725, 0.45873233014135884, 0.46602827177382583, 0.54628362973096212, 0.51322389420884629, 0.50775193798449614, 0.54810761513907891, 0.61240310077519378, 0.56224350205198359, 0.58732330141358868, 0.54263565891472865, 0.59279525763793894, 0.58116735066119474, 0.62585499316005466, 0.64363885088919293, 0.51869585043319655, 0.51504787961696308, 0.49544003647970819, 0.51869585043319655, 0.57751937984496116, 0.62038303693570462, 0.61422708618331046, 0.57136342909256732, 0.58914728682170536, 0.52485180118559049, 0.62836297309621525, 0.51755585955312355, 0.51937984496124034]"
