,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,wbysqdist,spectral,Orig,var_threshold,minmax,LR,0.56453900709219862,0.13989683049640003,"{'penalty': 'l2', 'C': 0.30000000000000004, 'max_iter': 50}",0.52331965344277254,0.027299296267513491,"[0.47469220246238031, 0.5120839033287734, 0.56475148198814407, 0.53351573187414503, 0.56839945280437754, 0.54514363885088923, 0.54331965344277244, 0.56292749658002728, 0.56292749658002728, 0.51025991792065661, 0.52371181030551761, 0.46671226630186957, 0.50227998176014599, 0.54514363885088923, 0.56041951664386691, 0.4692202462380301, 0.52371181030551761, 0.48267213862289104, 0.5120839033287734, 0.5004559963520292, 0.53533971728226182, 0.48084815321477431, 0.4943000455996352, 0.5371637026903785, 0.4943000455996352, 0.51390788873689008, 0.52986776105791156, 0.50227998176014599, 0.51390788873689008, 0.55677154582763333, 0.5120839033287734, 0.53351573187414503, 0.54514363885088923, 0.54149566803465576, 0.5120839033287734, 0.52006383948928403, 0.53169174646602824, 0.5371637026903785, 0.52188782489740082, 0.52371181030551761, 0.56657546739626075, 0.51755585955312355, 0.50227998176014599, 0.46124031007751937, 0.52371181030551761, 0.56657546739626075, 0.51025991792065661, 0.53898768809849529, 0.53533971728226182, 0.54149566803465576]"
1,UCLAsource,wbysqdist,spectral,0,var_threshold,minmax,LR,0.56524822695035459,0.14211047658761106,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 50}",0.53146830825353408,0.03998233871830837,"[0.55608755129958953, 0.46853625170998636, 0.55426356589147285, 0.51322389420884629, 0.54263565891472865, 0.56589147286821706, 0.53100775193798444, 0.48996808025535793, 0.5230278157774737, 0.52120383036935714, 0.46671226630186957, 0.51322389420884629, 0.54263565891472865, 0.49794801641586867, 0.54810761513907891, 0.58185134518923842, 0.60875512995896042, 0.55426356589147285, 0.58185134518923842, 0.48016415868673051, 0.55243958048335617, 0.51322389420884629, 0.45257637938896489, 0.46238030095759231, 0.46671226630186957, 0.53214774281805743, 0.47218422252621983, 0.46671226630186957, 0.585499316005472, 0.60259917920656636, 0.54081167350661197, 0.52667578659370728, 0.51937984496124034, 0.52667578659370728, 0.5615595075239399, 0.55973552211582311, 0.5738714090287278, 0.53830369357045149, 0.5738714090287278, 0.5615595075239399, 0.50524395804833566, 0.57204742362061101, 0.5371637026903785, 0.50957592339261293, 0.57204742362061101, 0.585499316005472, 0.52485180118559049, 0.56406748746010038, 0.47469220246238031, 0.49794801641586867]"
2,UCLAsource,wbysqdist,spectral,20,var_threshold,minmax,LR,0.58156028368794321,0.14480091666675254,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 100}",0.55447788417692667,0.048186030364127774,"[0.49612403100775193, 0.50592795257637935, 0.52485180118559049, 0.48814409484724119, 0.59530323757409942, 0.56224350205198359, 0.60510715914272684, 0.54628362973096212, 0.58002735978112174, 0.4997720018239854, 0.53100775193798444, 0.53465572275421791, 0.49179206566347478, 0.45257637938896489, 0.61240310077519378, 0.62038303693570462, 0.54081167350661197, 0.61308709530323757, 0.61491108071135436, 0.53283173734610123, 0.63816689466484267, 0.52485180118559049, 0.52485180118559049, 0.4997720018239854, 0.55426356589147285, 0.55791153670770632, 0.585499316005472, 0.53100775193798444, 0.56406748746010038, 0.52120383036935714, 0.47469220246238031, 0.57318741450068411, 0.59712722298221621, 0.53465572275421791, 0.58116735066119474, 0.62038303693570462, 0.61308709530323757, 0.59712722298221621, 0.62220702234382119, 0.4943000455996352, 0.48632010943912451, 0.61491108071135436, 0.56041951664386691, 0.55608755129958953, 0.58367533059735521, 0.58732330141358868, 0.49794801641586867, 0.60510715914272684, 0.47469220246238031, 0.59963520291837669]"
3,UCLAsource,wbysqdist,spectral,40,var_threshold,minmax,LR,0.54131205673758864,0.10413236948581189,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 100}",0.53149110807113542,0.049549845219119384,"[0.45143638850889189, 0.48016415868673051, 0.54445964432284533, 0.48814409484724119, 0.60510715914272684, 0.54628362973096212, 0.5738714090287278, 0.56406748746010038, 0.52120383036935714, 0.48016415868673051, 0.52918376652986776, 0.47765617875057004, 0.49179206566347478, 0.45873233014135884, 0.56953944368445053, 0.60875512995896042, 0.49361605107159146, 0.52918376652986776, 0.55608755129958953, 0.45075239398084815, 0.61855905152758783, 0.54195166438668496, 0.41769265845873232, 0.47218422252621983, 0.54263565891472865, 0.54263565891472865, 0.54445964432284533, 0.50159598723210219, 0.57751937984496116, 0.55426356589147285, 0.44163246694026448, 0.54012767897856817, 0.53283173734610123, 0.49544003647970819, 0.56771545827633374, 0.62220702234382119, 0.56224350205198359, 0.62220702234382119, 0.55608755129958953, 0.56406748746010038, 0.44892840857273142, 0.56953944368445053, 0.54445964432284533, 0.52849977200182396, 0.585499316005472, 0.52120383036935714, 0.51573187414500687, 0.58732330141358868, 0.48996808025535793, 0.54514363885088923]"
4,UCLAsource,wbysqdist,spectral,60,var_threshold,minmax,LR,0.55496453900709219,0.18139252832885519,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 100}",0.53332421340629277,0.038651369791248037,"[0.47651618787049704, 0.45873233014135884, 0.52485180118559049, 0.46671226630186957, 0.56589147286821706, 0.57751937984496116, 0.57569539443684459, 0.53283173734610123, 0.54263565891472865, 0.48996808025535793, 0.53898768809849529, 0.46602827177382583, 0.5230278157774737, 0.51322389420884629, 0.53830369357045149, 0.56589147286821706, 0.48381212950296398, 0.50957592339261293, 0.55426356589147285, 0.46853625170998636, 0.55061559507523938, 0.52051983584131323, 0.47036023711810304, 0.51687186502507987, 0.52485180118559049, 0.53830369357045149, 0.5364797081623347, 0.54263565891472865, 0.58116735066119474, 0.5230278157774737, 0.4630642954856361, 0.55357957136342906, 0.5738714090287278, 0.55357957136342906, 0.56771545827633374, 0.59279525763793894, 0.56041951664386691, 0.56771545827633374, 0.59712722298221621, 0.56589147286821706, 0.48814409484724119, 0.59895120839033289, 0.47651618787049704, 0.57318741450068411, 0.5738714090287278, 0.54628362973096212, 0.55061559507523938, 0.53465572275421791, 0.50341997264021887, 0.54696762425900591]"
5,UCLAsource,wbysqdist,spectral,80,var_threshold,minmax,LR,0.61170212765957444,0.13554961639972046,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 50}",0.53846329229366163,0.036984628387867639,"[0.50957592339261293, 0.50159598723210219, 0.50524395804833566, 0.52120383036935714, 0.57751937984496116, 0.61855905152758783, 0.5738714090287278, 0.55243958048335617, 0.55426356589147285, 0.47469220246238031, 0.51573187414500687, 0.48016415868673051, 0.53100775193798444, 0.4997720018239854, 0.54810761513907891, 0.54445964432284533, 0.51322389420884629, 0.51573187414500687, 0.53283173734610123, 0.55426356589147285, 0.55608755129958953, 0.53032375740994075, 0.47218422252621983, 0.47400820793433651, 0.48814409484724119, 0.53283173734610123, 0.56953944368445053, 0.56224350205198359, 0.585499316005472, 0.60077519379844957, 0.51573187414500687, 0.61240310077519378, 0.4997720018239854, 0.57136342909256732, 0.55243958048335617, 0.59097127222982215, 0.56041951664386691, 0.52735978112175108, 0.56771545827633374, 0.56224350205198359, 0.47834017327861378, 0.59712722298221621, 0.4997720018239854, 0.55357957136342906, 0.5230278157774737, 0.57569539443684459, 0.53100775193798444, 0.54628362973096212, 0.51139990880072961, 0.55061559507523938]"
6,UCLAsource,wbysqdist,spectral,100,var_threshold,minmax,LR,0.58563829787234056,0.15495749939379941,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 100}",0.55290469676242582,0.034472538877410218,"[0.51937984496124034, 0.49794801641586867, 0.55973552211582311, 0.50159598723210219, 0.585499316005472, 0.62038303693570462, 0.60510715914272684, 0.54263565891472865, 0.57204742362061101, 0.54263565891472865, 0.585499316005472, 0.5364797081623347, 0.54445964432284533, 0.48996808025535793, 0.56589147286821706, 0.59895120839033289, 0.4997720018239854, 0.53100775193798444, 0.55061559507523938, 0.50775193798449614, 0.54879160966712259, 0.55608755129958953, 0.48563611491108072, 0.54012767897856817, 0.54628362973096212, 0.53830369357045149, 0.60442316461468304, 0.56224350205198359, 0.56406748746010038, 0.57934336525307795, 0.49612403100775193, 0.61422708618331046, 0.52553579571363429, 0.55973552211582311, 0.56406748746010038, 0.58914728682170536, 0.5738714090287278, 0.55061559507523938, 0.60693114455084363, 0.53100775193798444, 0.51937984496124034, 0.58732330141358868, 0.50592795257637935, 0.61240310077519378, 0.55061559507523938, 0.53100775193798444, 0.56589147286821706, 0.55243958048335617, 0.55426356589147285, 0.57204742362061101]"
7,UCLAsource,wbysqdist,spectral,120,var_threshold,minmax,LR,0.55957446808510636,0.15407179104213017,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 100}",0.54154126766985866,0.041761897569327022,"[0.49612403100775193, 0.46853625170998636, 0.52667578659370728, 0.48996808025535793, 0.53465572275421791, 0.65344277245782023, 0.60510715914272684, 0.50957592339261293, 0.56224350205198359, 0.53283173734610123, 0.57204742362061101, 0.48381212950296398, 0.5230278157774737, 0.44892840857273142, 0.50889192886456902, 0.53465572275421791, 0.52485180118559049, 0.52120383036935714, 0.52120383036935714, 0.52485180118559049, 0.50957592339261293, 0.50889192886456902, 0.50524395804833566, 0.4990880072959416, 0.53465572275421791, 0.51504787961696308, 0.56338349293205647, 0.51937984496124034, 0.59712722298221621, 0.58116735066119474, 0.50775193798449614, 0.58116735066119474, 0.58185134518923842, 0.59279525763793894, 0.57569539443684459, 0.60077519379844957, 0.57751937984496116, 0.53283173734610123, 0.63018695850433204, 0.54445964432284533, 0.53283173734610123, 0.56589147286821706, 0.46488828089375284, 0.54559963520291832, 0.55426356589147285, 0.57751937984496116, 0.56406748746010038, 0.55243958048335617, 0.53283173734610123, 0.585499316005472]"
8,UCLAsource,wbysqdist,spectral,140,var_threshold,minmax,LR,0.5806737588652483,0.1725264770766804,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 50}",0.55069767441860462,0.045820413094767413,"[0.50957592339261293, 0.47651618787049704, 0.54628362973096212, 0.5230278157774737, 0.56406748746010038, 0.62038303693570462, 0.58367533059735521, 0.51139990880072961, 0.61673506611947104, 0.53283173734610123, 0.57204742362061101, 0.49179206566347478, 0.54081167350661197, 0.46671226630186957, 0.54628362973096212, 0.53465572275421791, 0.5738714090287278, 0.51937984496124034, 0.54263565891472865, 0.5230278157774737, 0.52735978112175108, 0.52849977200182396, 0.46055631554947563, 0.47583219334245325, 0.53283173734610123, 0.56953944368445053, 0.58116735066119474, 0.54081167350661197, 0.63999088007295946, 0.58116735066119474, 0.52918376652986776, 0.59461924304605551, 0.53898768809849529, 0.59097127222982215, 0.58732330141358868, 0.60077519379844957, 0.58185134518923842, 0.59712722298221621, 0.59895120839033289, 0.55426356589147285, 0.44345645234838127, 0.56406748746010038, 0.45508435932512536, 0.5615595075239399, 0.585499316005472, 0.6105791153670771, 0.56589147286821706, 0.59712722298221621, 0.53283173734610123, 0.61126310989512089]"
9,UCLAsource,wbysqdist,spectral,160,var_threshold,minmax,LR,0.57482269503546102,0.18439000258873939,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 50}",0.55635658914728681,0.042190967046054656,"[0.48814409484724119, 0.52120383036935714, 0.52485180118559049, 0.51139990880072961, 0.60510715914272684, 0.6712266301869585, 0.65777473780209761, 0.55061559507523938, 0.56589147286821706, 0.55608755129958953, 0.54081167350661197, 0.50524395804833566, 0.55061559507523938, 0.50524395804833566, 0.58914728682170536, 0.60077519379844957, 0.53283173734610123, 0.51139990880072961, 0.55608755129958953, 0.51937984496124034, 0.5738714090287278, 0.52051983584131323, 0.47036023711810304, 0.52667578659370728, 0.55426356589147285, 0.58914728682170536, 0.5499316005471957, 0.54081167350661197, 0.59712722298221621, 0.55791153670770632, 0.54879160966712259, 0.60442316461468304, 0.50775193798449614, 0.56771545827633374, 0.57934336525307795, 0.63201094391244883, 0.58002735978112174, 0.62836297309621525, 0.55243958048335617, 0.51937984496124034, 0.54081167350661197, 0.5738714090287278, 0.52120383036935714, 0.59895120839033289, 0.58367533059735521, 0.57751937984496116, 0.56224350205198359, 0.51139990880072961, 0.50159598723210219, 0.58185134518923842]"
