,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,minmax,LR,0.60780141843971636,0.15771533232377086,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.59333333333333338,0.15933193862708964,"[ 0.63333333  0.56        0.64        0.85        0.85        0.55        0.3
  0.6         0.45        0.5       ]"
1,UCLAsource,binar,origN,low0,var_threshold,minmax,LR,0.56453900709219862,0.13666567294555679,"{'penalty': 'l1', 'C': 0.7000000000000001, 'max_iter': 500}",0.52733333333333343,0.14775204454310156,"[ 0.63333333  0.76        0.48        0.65        0.55        0.6         0.45
  0.55        0.2         0.4       ]"
2,UCLAsource,binar,origN,low5,var_threshold,minmax,LR,0.59397163120567376,0.11501493026294968,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.50566666666666671,0.16353083297449855,"[ 0.56666667  0.72        0.32        0.8         0.45        0.55        0.35
  0.5         0.25        0.55      ]"
3,UCLAsource,binar,origN,low10,var_threshold,minmax,LR,0.59450354609929079,0.11593968784130652,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.52000000000000002,0.1363084736911099,[ 0.6   0.68  0.32  0.75  0.5   0.6   0.5   0.5   0.3   0.45]
4,UCLAsource,binar,origN,low20,var_threshold,minmax,LR,0.62588652482269502,0.12941076275109087,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 50}",0.57800000000000007,0.11548160026601642,[ 0.5   0.64  0.64  0.85  0.5   0.6   0.5   0.6   0.4   0.55]
5,UCLAsource,binar,origN,low30,var_threshold,minmax,LR,0.58617021276595738,0.16525355362309493,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 50}",0.55499999999999994,0.13603308421115801,[ 0.5   0.68  0.52  0.75  0.5   0.75  0.35  0.55  0.35  0.6 ]
6,UCLAsource,binar,origN,low40,var_threshold,minmax,LR,0.62234042553191493,0.18256695380351703,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.57800000000000007,0.17034083479894069,[ 0.7   0.72  0.76  0.7   0.5   0.7   0.3   0.6   0.25  0.55]
7,UCLAsource,binar,origN,low50,var_threshold,minmax,LR,0.61046099290780131,0.16350880794359998,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 500}",0.56000000000000005,0.13776792079435621,[ 0.6   0.68  0.72  0.65  0.6   0.6   0.5   0.5   0.2   0.55]
8,UCLAsource,binar,origN,low60,var_threshold,minmax,LR,0.62269503546099292,0.16100766952038056,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 500}",0.58733333333333326,0.15149477438732559,"[ 0.63333333  0.56        0.88        0.75        0.6         0.5         0.45
  0.65        0.3         0.55      ]"
9,UCLAsource,binar,origN,low70,var_threshold,minmax,LR,0.64893617021276595,0.16789984403770578,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.59166666666666656,0.1764227876437735,"[ 0.66666667  0.6         1.          0.7         0.6         0.45        0.45
  0.55        0.3         0.6       ]"
10,UCLAsource,binar,origN,low80,var_threshold,minmax,LR,0.53546099290780147,0.14269514120944157,"{'penalty': 'l2', 'C': 0.30000000000000004, 'max_iter': 50}",0.54400000000000015,0.17844887222955486,[ 0.4   0.32  0.52  0.7   0.4   0.6   0.95  0.5   0.65  0.4 ]
11,UCLAsource,binar,origN,low90,var_threshold,minmax,LR,0.52251773049645378,0.13809980816146958,"{'penalty': 'l2', 'C': 0.30000000000000004, 'max_iter': 50}",0.50600000000000001,0.14465130486794789,[ 0.4   0.36  0.4   0.65  0.4   0.55  0.8   0.5   0.65  0.35]
12,UCLAsource,binar,origN,low100,var_threshold,minmax,LR,0.51028368794326251,0.15108172570719414,"{'penalty': 'l1', 'C': 0.6000000000000001, 'max_iter': 100}",0.43499999999999994,0.13858210562695314,[ 0.5   0.28  0.72  0.5   0.35  0.2   0.55  0.4   0.4   0.45]
13,UCLAsource,binar,origN,low110,var_threshold,minmax,LR,0.51152482269503541,0.098781781723060014,"{'penalty': 'l2', 'C': 0.7000000000000001, 'max_iter': 50}",0.49533333333333329,0.15862744613296487,"[ 0.43333333  0.32        0.4         0.55        0.35        0.6         0.85
  0.45        0.65        0.35      ]"
14,UCLAsource,binar,origN,low120,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.1, 'max_iter': 50}",0.5,0.0,[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5]
15,UCLAsource,binar,origN,low130,var_threshold,minmax,LR,0.50248226950354613,0.084339929338963532,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.48833333333333329,0.18102946353195287,"[ 0.33333333  0.28        0.52        0.45        0.3         0.65        0.85
  0.55        0.65        0.3       ]"
16,UCLAsource,binar,origN,low140,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.1, 'max_iter': 50}",0.5,0.0,[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5]
17,UCLAsource,binar,origN,low150,var_threshold,minmax,LR,0.5035460992907802,0.088868389568245817,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.495,0.19392008663364402,[ 0.3   0.28  0.52  0.5   0.35  0.65  0.8   0.5   0.8   0.25]
18,UCLAsource,binar,origN,low160,var_threshold,minmax,LR,0.51666666666666661,0.094575073060740728,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.51433333333333331,0.20664542901630645,"[ 0.33333333  0.28        0.48        0.5         0.35        0.7         0.9
  0.5         0.8         0.3       ]"
19,UCLAsource,binar,origN,low170,var_threshold,minmax,LR,0.50975177304964547,0.10519062889355585,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.49433333333333324,0.19823134632713027,"[ 0.33333333  0.24        0.52        0.4         0.35        0.65        0.9
  0.55        0.7         0.3       ]"
20,UCLAsource,binar,origN,low180,var_threshold,minmax,LR,0.50531914893617025,0.11611350030236443,"{'penalty': 'l2', 'C': 0.2, 'max_iter': 50}",0.47700000000000004,0.19687813489567602,[ 0.3   0.2   0.52  0.45  0.25  0.65  0.8   0.5   0.75  0.35]
21,UCLAsource,binar,origN,low190,var_threshold,minmax,LR,0.50407801418439713,0.16529016985133882,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.46099999999999997,0.17328877632437709,[ 0.3   0.24  0.52  0.45  0.25  0.65  0.7   0.5   0.7   0.3 ]
22,UCLAsource,binar,origN,low200,var_threshold,minmax,LR,0.54095744680851066,0.1863939385196994,"{'penalty': 'l2', 'C': 0.2, 'max_iter': 50}",0.48799999999999999,0.17307801709055951,[ 0.3   0.32  0.56  0.55  0.35  0.65  0.8   0.45  0.65  0.25]
23,UCLAsource,binar,origN,low210,var_threshold,minmax,LR,0.53085106382978731,0.1959030349295614,"{'penalty': 'l2', 'C': 0.7000000000000001, 'max_iter': 50}",0.47066666666666662,0.14759403781996075,"[ 0.26666667  0.28        0.56        0.5         0.45        0.6         0.75
  0.45        0.55        0.3       ]"
24,UCLAsource,binar,origN,low220,var_threshold,minmax,LR,0.52695035460992901,0.18688225871603142,"{'penalty': 'l2', 'C': 0.4, 'max_iter': 50}",0.47133333333333338,0.12177575018587788,"[ 0.23333333  0.4         0.48        0.5         0.4         0.6         0.7
  0.45        0.55        0.4       ]"
25,UCLAsource,binar,origN,low230,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.1, 'max_iter': 50}",0.5,0.0,[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5]
26,UCLAsource,binar,origN,low240,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.1, 'max_iter': 50}",0.5,0.0,[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5]
27,UCLAsource,binar,origN,low250,var_threshold,minmax,LR,0.59308510638297873,0.20674800467659812,"{'penalty': 'l2', 'C': 0.2, 'max_iter': 50}",0.49166666666666659,0.13908630414242806,"[ 0.26666667  0.44        0.56        0.65        0.3         0.55        0.7
  0.55        0.55        0.35      ]"
28,UCLAsource,binar,origN,low260,var_threshold,minmax,LR,0.63475177304964536,0.092370271129742096,"{'penalty': 'l2', 'C': 0.6000000000000001, 'max_iter': 50}",0.62066666666666659,0.19995999599919981,"[ 0.26666667  0.68        0.56        0.7         0.75        0.95        0.75
  0.75        0.45        0.35      ]"
29,UCLAsource,binar,origN,low263,var_threshold,minmax,LR,0.5,0.0,"{'penalty': 'l1', 'C': 0.1, 'max_iter': 50}",0.5,0.0,[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5]
