,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,origW,spectral,origF,var_threshold,minmax,LR_orig,0.57943262411347507,0.18725694304397134,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.55766666666666664,0.17529689101635546,"[ 0.56666667  0.56        0.6         0.75        0.9         0.45        0.25
  0.6         0.35        0.55      ]"
1,UCLAsource,origW,spectral,low0,var_threshold,minmax,LR_0,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
2,UCLAsource,origW,spectral,low5,var_threshold,minmax,LR_5,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.52933333333333332,0.19203471908312136,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.2         0.85      ]"
3,UCLAsource,origW,spectral,low10,var_threshold,minmax,LR_10,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53433333333333333,0.1838722382525432,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.25        0.85      ]"
4,UCLAsource,origW,spectral,low20,var_threshold,minmax,LR_20,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
5,UCLAsource,origW,spectral,low30,var_threshold,minmax,LR_30,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
6,UCLAsource,origW,spectral,low40,var_threshold,minmax,LR_40,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
7,UCLAsource,origW,spectral,low50,var_threshold,minmax,LR_50,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
8,UCLAsource,origW,spectral,low60,var_threshold,minmax,LR_60,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
9,UCLAsource,origW,spectral,low70,var_threshold,minmax,LR_70,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
10,UCLAsource,origW,spectral,low80,var_threshold,minmax,LR_80,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
11,UCLAsource,origW,spectral,low90,var_threshold,minmax,LR_90,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
12,UCLAsource,origW,spectral,low100,var_threshold,minmax,LR_100,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
13,UCLAsource,origW,spectral,low110,var_threshold,minmax,LR_110,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
14,UCLAsource,origW,spectral,low120,var_threshold,minmax,LR_120,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.52933333333333332,0.19203471908312136,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.2         0.85      ]"
15,UCLAsource,origW,spectral,low130,var_threshold,minmax,LR_130,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
16,UCLAsource,origW,spectral,low140,var_threshold,minmax,LR_140,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
17,UCLAsource,origW,spectral,low150,var_threshold,minmax,LR_150,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
18,UCLAsource,origW,spectral,low160,var_threshold,minmax,LR_160,0.59007092198581568,0.2276059900262738,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 500}",0.53800000000000003,0.12944496900227526,[ 0.6   0.56  0.72  0.6   0.7   0.45  0.25  0.45  0.55  0.5 ]
19,UCLAsource,origW,spectral,low170,var_threshold,minmax,LR_170,0.59946808510638294,0.23080509886545103,"{'penalty': 'l1', 'C': 0.9, 'max_iter': 100}",0.55633333333333335,0.12064134172551848,"[ 0.63333333  0.56        0.72        0.6         0.7         0.6         0.3
  0.45        0.55        0.45      ]"
20,UCLAsource,origW,spectral,low180,var_threshold,minmax,LR_180,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
21,UCLAsource,origW,spectral,low190,var_threshold,minmax,LR_190,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
22,UCLAsource,origW,spectral,low200,var_threshold,minmax,LR_200,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
23,UCLAsource,origW,spectral,low210,var_threshold,minmax,LR_210,0.59503546099290783,0.19115843482795877,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.53933333333333322,0.17660879555295847,"[ 0.63333333  0.36        0.8         0.45        0.45        0.65        0.4
  0.5         0.3         0.85      ]"
