,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,minmax,SVC,0.58829787234042552,0.20775209396938593,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 2}",0.51033333333333331,0.12418131904598211,"[ 0.33333333  0.64        0.48        0.7         0.45        0.5         0.45
  0.5         0.35        0.7       ]"
1,UCLAsource,binar,origN,low0,var_threshold,minmax,SVC,0.5462765957446809,0.16666940166761515,"{'kernel': 'poly', 'C': 0.001, 'max_iter': 50, 'degree': 4}",0.53833333333333333,0.20527623665035694,"[ 0.33333333  0.72        0.68        0.5         0.35        0.9         0.3
  0.75        0.3         0.55      ]"
2,UCLAsource,binar,origN,low5,var_threshold,minmax,SVC,0.48333333333333328,0.20459554751134182,"{'kernel': 'poly', 'C': 0.001, 'max_iter': 50, 'degree': 2}",0.52100000000000002,0.20685502169393907,[ 0.3   0.68  0.68  0.5   0.35  0.9   0.25  0.7   0.3   0.55]
3,UCLAsource,binar,origN,low10,var_threshold,minmax,SVC,0.54219858156028367,0.13454024083748109,"{'kernel': 'sigmoid', 'C': 0.001, 'max_iter': 50, 'degree': 2}",0.49099999999999999,0.1820686683644388,[ 0.3   0.68  0.68  0.5   0.25  0.65  0.2   0.7   0.4   0.55]
4,UCLAsource,binar,origN,low20,var_threshold,minmax,SVC,0.52783687943262414,0.18024458523772566,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 3}",0.50900000000000001,0.19408503291083529,[ 0.3   0.76  0.68  0.5   0.35  0.8   0.25  0.65  0.3   0.5 ]
5,UCLAsource,binar,origN,low30,var_threshold,minmax,SVC,0.46241134751773044,0.16284512668466755,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 3}",0.53966666666666663,0.22066792547475797,"[ 0.36666667  0.8         0.68        0.5         0.25        0.8         0.25
  0.85        0.35        0.55      ]"
6,UCLAsource,binar,origN,low40,var_threshold,minmax,SVC,0.47819148936170208,0.14167660782276226,"{'kernel': 'poly', 'C': 0.30000000000000004, 'max_iter': 50, 'degree': 4}",0.52900000000000003,0.20757890066189291,[ 0.4   0.72  0.72  0.45  0.25  0.8   0.25  0.8   0.35  0.55]
7,UCLAsource,binar,origN,low50,var_threshold,minmax,SVC,0.52624113475177303,0.15023011037095496,"{'kernel': 'poly', 'C': 0.001, 'max_iter': 50, 'degree': 2}",0.5043333333333333,0.19826497421380307,"[ 0.33333333  0.64        0.72        0.4         0.3         0.85        0.25
  0.7         0.35        0.5       ]"
8,UCLAsource,binar,origN,low60,var_threshold,minmax,SVC,0.47234042553191485,0.15267421532580688,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 3}",0.48299999999999998,0.18751266623884372,[ 0.3   0.72  0.56  0.5   0.25  0.8   0.25  0.65  0.35  0.45]
9,UCLAsource,binar,origN,low70,var_threshold,minmax,SVC,0.45443262411347518,0.26638921217564948,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 3}",0.51900000000000002,0.21463690269848756,[ 0.3   0.72  0.72  0.5   0.3   0.85  0.25  0.75  0.3   0.5 ]
10,UCLAsource,binar,origN,low80,var_threshold,minmax,SVC,0.49627659574468092,0.26991324075959522,"{'kernel': 'sigmoid', 'C': 0.30000000000000004, 'max_iter': 100, 'degree': 2}",0.49166666666666659,0.20238165265985286,"[ 0.36666667  0.8         0.6         0.45        0.3         0.75        0.15
  0.65        0.3         0.55      ]"
