,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,origS,XGB,0.55177304964539009,0.13521430510271923,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.56933333333333336,0.15651623983898069,"[ 0.73333333  0.56        0.4         0.85        0.4         0.4         0.7
  0.45        0.5         0.7       ]"
1,UCLAsource,binar,origN,low0,var_threshold,origS,XGB,0.51205673758865244,0.19975759919385389,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.46299999999999997,0.18088946901353875,[ 0.3   0.4   0.28  0.5   0.3   0.2   0.7   0.7   0.6   0.65]
2,UCLAsource,binar,origN,low5,var_threshold,origS,XGB,0.51276595744680842,0.20273871800244467,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.55899999999999994,0.16694010902116962,[ 0.4   0.76  0.28  0.55  0.55  0.4   0.6   0.7   0.85  0.5 ]
3,UCLAsource,binar,origN,low10,var_threshold,origS,XGB,0.46826241134751778,0.21805161767901654,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.497,0.19894974239742053,[ 0.2   0.72  0.4   0.3   0.35  0.3   0.6   0.75  0.75  0.6 ]
4,UCLAsource,binar,origN,low20,var_threshold,origS,XGB,0.57730496453900704,0.16336899060468177,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.6203333333333334,0.19344508264621252,"[ 0.23333333  0.6         0.52        0.65        0.35        0.7         0.8
  0.75        0.9         0.7       ]"
5,UCLAsource,binar,origN,low30,var_threshold,origS,XGB,0.57819148936170206,0.18215005951931004,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.54900000000000004,0.14017489076150549,[ 0.6   0.76  0.48  0.45  0.3   0.45  0.65  0.45  0.75  0.6 ]
6,UCLAsource,binar,origN,low40,var_threshold,origS,XGB,0.47517730496453897,0.15810163489156123,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.54533333333333345,0.17332820505234184,"[ 0.33333333  0.56        0.36        0.4         0.3         0.7         0.6
  0.8         0.7         0.7       ]"
7,UCLAsource,binar,origN,low50,var_threshold,origS,XGB,0.52712765957446805,0.20791069247024929,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.5003333333333333,0.14931287062183665,"[ 0.43333333  0.68        0.44        0.3         0.2         0.6         0.6
  0.5         0.65        0.6       ]"
8,UCLAsource,binar,origN,low60,var_threshold,origS,XGB,0.57216312056737595,0.221788724165802,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.53366666666666673,0.17098050571142118,"[ 0.36666667  0.72        0.4         0.35        0.3         0.7         0.75
  0.5         0.75        0.5       ]"
9,UCLAsource,binar,origN,low70,var_threshold,origS,XGB,0.51347517730496461,0.19578412080826668,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.51200000000000001,0.1351147660324363,[ 0.2   0.48  0.44  0.55  0.4   0.6   0.55  0.55  0.65  0.7 ]
10,UCLAsource,binar,origN,low80,var_threshold,origS,XGB,0.42748226950354612,0.20612241661511729,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.50800000000000001,0.14709180806557515,[ 0.3   0.72  0.56  0.5   0.3   0.35  0.5   0.7   0.65  0.5 ]
11,UCLAsource,binar,origN,low90,var_threshold,origS,XGB,0.50868794326241129,0.17085393792718412,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.5073333333333333,0.18461852561430556,"[ 0.33333333  0.6         0.44        0.4         0.2         0.6         0.4
  0.9         0.6         0.6       ]"
12,UCLAsource,binar,origN,low100,var_threshold,origS,XGB,0.55709219858156034,0.16451607812848729,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.59333333333333327,0.180129582985879,"[ 0.33333333  0.72        0.48        0.4         0.35        0.65        0.8
  0.8         0.8         0.6       ]"
13,UCLAsource,binar,origN,low110,var_threshold,origS,XGB,0.62996453900709226,0.16006388697983945,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.59800000000000009,0.13496666255042392,[ 0.6   0.64  0.44  0.6   0.3   0.7   0.65  0.8   0.7   0.55]
14,UCLAsource,binar,origN,low120,var_threshold,origS,XGB,0.47056737588652481,0.16212655820130611,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.47666666666666668,0.1540562667772179,"[ 0.36666667  0.6         0.4         0.6         0.3         0.3         0.55
  0.75        0.3         0.6       ]"
15,UCLAsource,binar,origN,low130,var_threshold,origS,XGB,0.51205673758865244,0.19017231602736007,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.5169999999999999,0.14594862109660375,[ 0.3   0.72  0.4   0.35  0.4   0.6   0.5   0.75  0.6   0.55]
16,UCLAsource,binar,origN,low140,var_threshold,origS,XGB,0.43439716312056742,0.21020940407529839,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.52366666666666672,0.12586103447850724,"[ 0.46666667  0.6         0.52        0.4         0.3         0.6         0.7
  0.7         0.4         0.55      ]"
17,UCLAsource,binar,origN,low150,var_threshold,origS,XGB,0.50443262411347523,0.19110193602424777,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.55633333333333335,0.19086033287895804,"[ 0.53333333  0.68        0.6         0.5         0.25        0.35        0.65
  0.75        0.35        0.9       ]"
18,UCLAsource,binar,origN,low160,var_threshold,origS,XGB,0.49787234042553197,0.21317195306928505,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.56033333333333335,0.18543911849085853,"[ 0.33333333  0.64        0.48        0.75        0.2         0.65        0.8
  0.75        0.45        0.55      ]"
19,UCLAsource,binar,origN,low170,var_threshold,origS,XGB,0.61347517730496448,0.24865211815179694,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.54533333333333334,0.1605905767264485,"[ 0.43333333  0.48        0.44        0.9         0.35        0.5         0.45
  0.75        0.5         0.65      ]"
20,UCLAsource,binar,origN,low180,var_threshold,origS,XGB,0.50549645390070919,0.24129267096352355,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.5053333333333333,0.10559040360436803,"[ 0.63333333  0.44        0.48        0.6         0.3         0.55        0.6
  0.55        0.35        0.55      ]"
21,UCLAsource,binar,origN,low190,var_threshold,origS,XGB,0.47712765957446812,0.15856150119269136,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.48066666666666669,0.14686955663671988,"[ 0.56666667  0.48        0.36        0.5         0.35        0.65        0.35
  0.75        0.25        0.55      ]"
22,UCLAsource,binar,origN,low200,var_threshold,origS,XGB,0.44893617021276599,0.23742621736387018,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.49333333333333335,0.1841195263952197,"[ 0.43333333  0.8         0.4         0.55        0.4         0.55        0.4
  0.6         0.1         0.7       ]"
23,UCLAsource,binar,origN,low210,var_threshold,origS,XGB,0.49804964539007091,0.22193614482925253,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.56166666666666665,0.21774220230967326,"[ 0.56666667  0.76        0.24        0.85        0.2         0.75        0.55
  0.75        0.35        0.6       ]"
24,UCLAsource,binar,origN,low220,var_threshold,origS,XGB,0.40691489361702127,0.2154906652257976,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.45266666666666666,0.14720960113615777,"[ 0.46666667  0.52        0.24        0.5         0.35        0.5         0.65
  0.35        0.25        0.7       ]"
25,UCLAsource,binar,origN,low230,var_threshold,origS,XGB,0.55106382978723401,0.28553595773527513,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.5046666666666666,0.20767602975146973,"[ 0.16666667  0.8         0.48        0.65        0.25        0.8         0.45
  0.55        0.3         0.6       ]"
26,UCLAsource,binar,origN,low240,var_threshold,origS,XGB,0.58049645390070925,0.21839515525957318,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.52133333333333343,0.23442696090680354,"[ 0.53333333  0.76        0.52        0.7         0.25        1.          0.3
  0.5         0.2         0.45      ]"
27,UCLAsource,binar,origN,low250,var_threshold,origS,XGB,0.38049645390070919,0.18388437975382471,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.38900000000000001,0.17119871494844816,[ 0.5   0.72  0.52  0.4   0.25  0.55  0.15  0.3   0.2   0.3 ]
28,UCLAsource,binar,origN,low260,var_threshold,origS,XGB,0.42251773049645391,0.17284826164367925,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.4966666666666667,0.17631411363435054,"[ 0.36666667  0.64        0.56        0.7         0.45        0.65        0.35
  0.1         0.5         0.65      ]"
29,UCLAsource,binar,origN,low263,var_threshold,origS,XGB,0.54840425531914894,0.21065401295342473,"{'reg_alpha': 1, 'colsample_bytree': 0.1, 'learning_rate': 0.1, 'nthread': 1, 'n_estimators': 100, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.53999999999999992,0.12806248474865697,[ 0.5   0.8   0.4   0.45  0.4   0.5   0.75  0.5   0.55  0.55]
