,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,origW,spectral,origF,var_threshold,minmax,LR,0.579433,0.187257,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.557667,0.175297,[ 0.56666667 0.56 0.6 0.75 ...
1,UCLAsource,origW,spectral,origF,var_threshold,minmax,SVC,0.594858,0.189911,"{'kernel': 'linear', 'C': 0.005, 'max_iter': 5...",0.567667,0.189602,[ 0.66666667 0.52 0.64 0.8 ...
2,UCLAsource,origW,spectral,origF,var_threshold,minmax,SGD,0.644326,0.137462,"{'penalty': 'elasticnet', 'loss': 'hinge', 'al...",0.609667,0.121413,[ 0.66666667 0.68 0.6 0.85 ...
3,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,LR,0.503369,0.170741,"{'penalty': 'l2', 'C': 0.01, 'max_iter': 50}",0.525333,0.0929301,[ 0.63333333 0.64 0.48 0.5 ...
4,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,SVC,0.530674,0.172475,"{'kernel': 'rbf', 'C': 0.0005, 'max_iter': 50,...",0.541,0.107559,[ 0.7 0.64 0.52 0.6 0.4 0.4 0.5 0....
5,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,SGD,0.589894,0.200422,"{'penalty': 'elasticnet', 'loss': 'hinge', 'al...",0.551667,0.0936572,[ 0.76666667 0.52 0.48 0.45 ...
6,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,LR,0.614007,0.155101,"{'penalty': 'l1', 'C': 0.8, 'max_iter': 500}",0.582667,0.211133,[ 0.46666667 0.84 0.32 0.55 ...
7,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,SVC,0.565248,0.212934,"{'kernel': 'poly', 'C': 0.15000000000000002, '...",0.571,0.0746257,[ 0.7 0.6 0.56 0.55 0.5 0.45 0.55 0....
8,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,SGD,0.618262,0.236569,"{'penalty': 'elasticnet', 'loss': 'hinge', 'al...",0.579333,0.160761,[ 0.33333333 0.6 0.56 0.75 ...
9,UCLAsource,binar,origN,origF,var_threshold,minmax,LR,0.553014,0.110393,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 50}",0.495,0.132834,[ 0.5 0.64 0.36 0.5 0.5 0.35 0.75 0....
10,UCLAsource,binar,origN,origF,var_threshold,minmax,SVC,0.571631,0.178038,"{'kernel': 'linear', 'C': 0.0005, 'max_iter': ...",0.532667,0.113977,[ 0.36666667 0.68 0.48 0.75 ...
11,UCLAsource,binar,origN,origF,var_threshold,minmax,SGD,0.684752,0.155714,"{'penalty': 'elasticnet', 'loss': 'log', 'alph...",0.555833,0.218139,[ 0.73333333 0.66 0.24 0.15 ...
12,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,LR,0.728191,0.113118,"{'penalty': 'l1', 'C': 0.35000000000000003, 'm...",0.643667,0.115156,[ 0.46666667 0.6 0.52 0.65 ...
13,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,SVC,0.606738,0.214896,"{'kernel': 'poly', 'C': 0.0005, 'max_iter': 50...",0.629333,0.160678,[ 0.43333333 0.52 0.84 0.8 ...
14,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,SGD,0.637589,0.139353,"{'penalty': 'elasticnet', 'loss': 'log', 'alph...",0.589,0.20107,[ 0.7 0.28 0.76 0.55 0.8 0.6 0.15 0....
15,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,LR,0.759043,0.1229,"{'penalty': 'l1', 'C': 0.9500000000000001, 'ma...",0.629667,0.196013,[ 0.56666667 0.48 0.8 0.85 ...
16,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,SVC,0.625709,0.214416,"{'kernel': 'poly', 'C': 0.05, 'max_iter': 50, ...",0.636333,0.163629,[ 0.53333333 0.56 0.92 0.65 ...
17,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,SGD,0.682801,0.161473,"{'penalty': 'elasticnet', 'loss': 'modified_hu...",0.575667,0.189549,[ 0.56666667 0.64 0.8 0.75 ...
