Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores,
0,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,LR,0.503369,0.170741,"{'penalty': 'l2', 'C': 0.01, 'max_iter': 50}",0.525333,0.0929301,[ 0.63333333 0.64 0.48 0.5 ...
1,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,SVC,0.530674,0.172475,"{'kernel': 'rbf', 'C': 0.0005, 'max_iter': 50,...",0.541,0.107559,[ 0.7 0.64 0.52 0.6 0.4 0.4 0.5 0....
2,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,SGD,0.583865,0.229359,"{'penalty': 'elasticnet', 'loss': 'hinge', 'al...",0.459667,0.0628835,[ 0.46666667 0.44 0.44 0.55 ...
3,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,LR,0.616844,0.142622,"{'penalty': 'l1', 'C': 0.8500000000000001, 'ma...",0.598,0.192863,[ 0.5 0.72 0.36 0.65 1. 0.3 0.5 0....
4,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,SVC,0.565248,0.212934,"{'kernel': 'poly', 'C': 0.15000000000000002, '...",0.571,0.0746257,[ 0.7 0.6 0.56 0.55 0.5 0.45 0.55 0....
5,UCLAsource,origW,spectral,low_rank_30_curs,var_threshold,minmax,SGD,0.594149,0.19614,"{'penalty': 'elasticnet', 'loss': 'hinge', 'al...",0.594333,0.0740878,[ 0.63333333 0.56 0.6 0.65 ...
6,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,LR,0.729965,0.125421,"{'penalty': 'l1', 'C': 0.35000000000000003, 'm...",0.647667,0.111426,[ 0.46666667 0.6 0.56 0.65 ...
7,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,SVC,0.606738,0.214896,"{'kernel': 'poly', 'C': 0.0005, 'max_iter': 50...",0.629333,0.160678,[ 0.43333333 0.52 0.84 0.8 ...
8,UCLAsource,binar,origN,low_rank_30,var_threshold,minmax,SGD,0.669858,0.147394,"{'penalty': 'elasticnet', 'loss': 'log', 'alph...",0.579667,0.223057,[ 0.76666667 0.68 0.6 0.5 ...
9,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,LR,0.764716,0.131253,"{'penalty': 'l1', 'C': 1.0, 'max_iter': 100}",0.638667,0.171219,[ 0.56666667 0.48 0.84 0.85 ...
10,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,SVC,0.625709,0.214416,"{'kernel': 'poly', 'C': 0.05, 'max_iter': 50, ...",0.636333,0.163629,[ 0.53333333 0.56 0.92 0.65 ...
11,UCLAsource,binar,origN,low_rank_30_curs,var_threshold,minmax,SGD,0.687589,0.165866,"{'penalty': 'elasticnet', 'loss': 'modified_hu...",0.541667,0.226874,[ 0.36666667 0.32 0.88 0.8 ...
