,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,origW,origN,origF,var_threshold,minmax,LR,0.60780141843971636,0.15771533232377086,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.59333333333333338,0.15933193862708964,"[ 0.63333333  0.56        0.64        0.85        0.85        0.55        0.3
  0.6         0.45        0.5       ]"
1,UCLAsource,origW,origN,origF,var_threshold,origS,LR,0.59645390070921978,0.19545473952672676,"{'penalty': 'l1', 'C': 0.05, 'max_iter': 50}",0.58066666666666666,0.15852654877548641,"[ 0.66666667  0.6         0.44        0.75        0.65        0.35        0.45
  0.45        0.55        0.9       ]"
2,UCLAsource,origW,origN,low_rank_10,var_threshold,minmax,LR,0.61843971631205674,0.17567277105120305,"{'penalty': 'l1', 'C': 0.4, 'max_iter': 100}",0.63833333333333331,0.12167579874403951,"[ 0.53333333  0.68        0.72        0.5         0.75        0.55        0.8
  0.45        0.8         0.6       ]"
3,UCLAsource,origW,origN,low_rank_10,var_threshold,origS,LR,0.60833333333333317,0.13360234387321235,"{'penalty': 'l1', 'C': 0.75, 'max_iter': 50}",0.54333333333333333,0.24027761721253468,"[ 0.53333333  0.4         0.4         0.35        0.7         0.15        0.8
  0.4         1.          0.7       ]"
4,UCLAsource,origW,origN,low_rank_30,var_threshold,minmax,LR,0.62553191489361704,0.13752072974318869,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 500}",0.62433333333333318,0.19463384426489996,"[ 0.53333333  0.68        0.68        0.4         0.6         0.65        0.8
  0.2         0.85        0.85      ]"
5,UCLAsource,origW,origN,low_rank_30,var_threshold,origS,LR,0.60833333333333317,0.13360234387321235,"{'penalty': 'l1', 'C': 0.75, 'max_iter': 50}",0.54333333333333333,0.24027761721253468,"[ 0.53333333  0.4         0.4         0.35        0.7         0.15        0.8
  0.4         1.          0.7       ]"
6,UCLAsource,origW,origN,low_rank_50,var_threshold,minmax,LR,0.61631205673758871,0.18148941713157274,"{'penalty': 'l1', 'C': 0.4, 'max_iter': 50}",0.65666666666666673,0.12837445228704972,"[ 0.56666667  0.68        0.72        0.5         0.7         0.7         0.85
  0.4         0.8         0.65      ]"
7,UCLAsource,origW,origN,low_rank_50,var_threshold,origS,LR,0.60833333333333317,0.13360234387321235,"{'penalty': 'l1', 'C': 0.75, 'max_iter': 50}",0.54333333333333333,0.24027761721253468,"[ 0.53333333  0.4         0.4         0.35        0.7         0.15        0.8
  0.4         1.          0.7       ]"
8,UCLAsource,origW,spectral,origF,var_threshold,minmax,LR,0.57943262411347507,0.18725694304397134,"{'penalty': 'l2', 'C': 0.1, 'max_iter': 50}",0.55766666666666664,0.17529689101635546,"[ 0.56666667  0.56        0.6         0.75        0.9         0.45        0.25
  0.6         0.35        0.55      ]"
9,UCLAsource,origW,spectral,origF,var_threshold,origS,LR,0.57446808510638303,0.17153014139494985,"{'penalty': 'l2', 'C': 0.5, 'max_iter': 50}",0.58599999999999997,0.14492756811593852,[ 0.5   0.52  0.44  0.85  0.8   0.65  0.35  0.55  0.6   0.6 ]
10,UCLAsource,origW,spectral,low_rank_10,var_threshold,minmax,LR,0.70460992907801423,0.19314193655327819,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.61299999999999999,0.17239779580957523,[ 0.8   0.68  0.8   0.75  0.8   0.45  0.35  0.35  0.55  0.6 ]
11,UCLAsource,origW,spectral,low_rank_10,var_threshold,origS,LR,0.54999999999999993,0.21225737087168894,"{'penalty': 'l2', 'C': 0.01, 'max_iter': 50}",0.47466666666666668,0.11847362575695909,"[ 0.36666667  0.56        0.52        0.45        0.6         0.65        0.25
  0.35        0.45        0.55      ]"
12,UCLAsource,origW,spectral,low_rank_30,var_threshold,minmax,LR,0.70709219858156025,0.18430896690591989,"{'penalty': 'l1', 'C': 0.35000000000000003, 'max_iter': 100}",0.59533333333333327,0.1639796735370983,"[ 0.63333333  0.64        0.68        0.35        0.8         0.6         0.7
  0.25        0.75        0.55      ]"
13,UCLAsource,origW,spectral,low_rank_30,var_threshold,origS,LR,0.53173758865248233,0.22518011111224076,"{'penalty': 'l2', 'C': 0.01, 'max_iter': 50}",0.4926666666666667,0.15837929157563499,"[ 0.36666667  0.6         0.56        0.3         0.65        0.75        0.2
  0.5         0.45        0.55      ]"
14,UCLAsource,origW,spectral,low_rank_50,var_threshold,minmax,LR,0.70460992907801423,0.19314193655327819,"{'penalty': 'l1', 'C': 0.2, 'max_iter': 50}",0.60799999999999987,0.18048822676285567,[ 0.8   0.68  0.8   0.75  0.8   0.45  0.35  0.3   0.55  0.6 ]
15,UCLAsource,origW,spectral,low_rank_50,var_threshold,origS,LR,0.549822695035461,0.21908220712829976,"{'penalty': 'l2', 'C': 0.05, 'max_iter': 50}",0.49833333333333335,0.16463596204960812,"[ 0.33333333  0.52        0.48        0.45        0.7         0.85        0.25
  0.45        0.4         0.55      ]"
16,UCLAsource,binar,origN,origF,var_threshold,minmax,LR,0.5530141843971631,0.10820266986403777,"{'penalty': 'l1', 'C': 0.5, 'max_iter': 100}",0.4966666666666667,0.12853015210447702,"[ 0.46666667  0.64        0.36        0.5         0.5         0.4         0.75
  0.45        0.3         0.6       ]"
17,UCLAsource,binar,origN,origF,var_threshold,origS,LR,0.55780141843971631,0.1175172168780534,"{'penalty': 'l1', 'C': 0.55, 'max_iter': 50}",0.4966666666666667,0.12853015210447702,"[ 0.46666667  0.64        0.36        0.5         0.5         0.4         0.75
  0.45        0.3         0.6       ]"
18,UCLAsource,binar,origN,low_rank_10,var_threshold,minmax,LR,0.75726950354609934,0.10503738247748005,"{'penalty': 'l1', 'C': 0.9500000000000001, 'max_iter': 100}",0.60066666666666668,0.16694510075670585,"[ 0.56666667  0.4         0.84        0.4         0.75        0.4         0.45
  0.7         0.75        0.75      ]"
